Gene ID,LogFC,P-value,FDR,Day 1 Rep 1,Day 1 Rep 2,Day 1 Rep 3,Day 60 Rep 1,Day 60 Rep 2,Day 60 Rep 3
FBgn0000008,0.584640087,0.010570986,0.013247763,24.13350393,22.3582396,31.67776351,41.6777843,42.93287261,31.3486787
FBgn0000014,-2.121180586,2.29581441220746E-11,5.46477556781793E-11,26.18345408,24.09925006,31.14368109,6.711191934,3.597726755,8.073229003
FBgn0000015,-1.582087434,2.90253395370072E-07,5.0823245949362E-07,8.541458922,12.21761727,13.45220094,3.398342413,4.341256951,3.564495846
FBgn0000017,0.997009218,2.49796263568473E-07,4.38838716306251E-07,40.56416491,36.07251498,46.4651705,82.09454847,91.86195647,69.02374738
FBgn0000018,1.35194414,3.13659942698938E-07,5.47262981999283E-07,6.771047436,8.277435698,8.445178259,21.28772983,22.30590588,15.60352155
FBgn0000024,-2.295851362,8.8532459906443E-29,8.03917614919688E-28,52.3358483,57.14790476,55.47781133,10.98583648,10.28949852,11.80296638
FBgn0000028,-2.081043187,4.39829406264965E-09,8.81110166636084E-09,7.98238161,7.758186964,5.507724951,1.218273695,2.134651208,1.605203427
FBgn0000032,2.052130219,7.52399021504111E-27,5.89571919185981E-26,25.12741915,26.14570095,25.8696172,111.9956871,117.4058164,86.18526049
FBgn0000036,-3.251404742,7.31780877185889E-22,3.88242796639322E-21,11.86486294,9.896269986,12.75121777,0.919048577,1.319166477,1.345538167
FBgn0000037,-1.463864678,1.00069998166302E-06,1.68399208899444E-06,8.696758175,12.09544109,11.78319338,3.312849522,4.125393345,4.225461963
FBgn0000038,-2.704978128,3.55727317107023E-36,4.89230589622162E-35,64.41813019,66.3722058,69.76451605,7.972212075,10.57731666,11.85017824
FBgn0000039,-2.736892431,3.15044851916588E-13,8.58227952368499E-13,10.34293026,10.75150319,8.678839317,1.111407581,1.055333181,2.218957679
FBgn0000042,0.492634735,0.003307865,0.004306338,1566.969464,1837.621269,1808.837015,2588.746109,2314.6095,2321.596275
FBgn0000044,-2.746450103,5.93087227498241E-36,8.03535500890019E-35,2742.118912,2475.503066,2636.931806,342.783746,301.2976233,508.1177026
FBgn0000045,-7.222072708,5.33931797873086E-184,3.40354824554199E-181,6864.630766,7554.33602,8495.315246,41.57091819,47.96969006,62.08360315
FBgn0000046,-4.177998753,3.61962921184833E-74,1.9227772009106E-72,1628.530088,1477.293192,1428.13639,67.77448925,69.74792935,109.1302271
FBgn0000047,-7.697785632,1.81170904984026E-124,3.91482689430738E-122,7249.151717,8199.181859,10103.67107,50.82552363,25.97558717,44.07227646
FBgn0000052,0.672245447,0.000115991,0.000168309,68.61121003,84.57645553,66.59340169,121.7205034,108.0517269,114.4651679
FBgn0000057,0.709967001,6.17484483155577E-05,9.14215500609738E-05,55.41077351,49.97005462,44.29546067,83.31282216,83.15545773,74.54753564
FBgn0000061,-3.822411217,1.11690921051035E-10,2.5247297029781E-10,4.627917743,4.184533914,3.338015122,0.512957345,0.28781814,0.023605933
FBgn0000063,2.997633132,8.05553042937755E-29,7.34095478514184E-28,5.373354158,5.039767122,3.404775425,37.23215398,42.5011454,29.03529729
FBgn0000064,-2.308153165,8.15859426004414E-37,1.15957545397216E-35,2876.080048,3241.303317,3626.586529,666.5453238,597.582414,675.9322785
FBgn0000071,-7.213782309,1.37726034484565E-25,9.75482896468734E-25,2.671147154,2.382435367,3.338015122,0,0,0.047211866
FBgn0000075,-2.573522913,6.57394306989197E-10,1.4062281912425E-09,5.342294307,5.375751597,4.706601322,0.790809241,1.295181632,0.472118655
FBgn0000077,1.737939758,6.20507581768319E-10,1.32933139975875E-09,7.95132176,5.009223079,9.212921737,24.51508646,25.06416306,23.60593276
FBgn0000078,1.599464,2.85125650209988E-14,8.38539080629097E-14,54.47897799,55.00982174,38.08675254,168.1858896,116.1346196,153.5565926
FBgn0000079,1.555996178,2.01495933899973E-14,5.99503304851985E-14,48.08064877,54.82655748,53.4416221,173.8497936,113.9280139,163.6363259
FBgn0000083,-0.573779182,0.003296926,0.004292536,297.4601894,336.7480759,353.1953801,222.7517272,171.1558541,258.8390527
FBgn0000084,0.502705162,0.00463059,0.005969805,59.01371619,65.88350111,70.79930074,91.04992879,83.32335164,98.93246418
FBgn0000092,-8.228540454,1.2438269174451E-42,2.2653641957868E-41,1722.020238,1669.415223,1487.018977,10.36601302,1.535030082,3.847767039
FBgn0000097,-1.999532538,2.08444183004066E-15,6.67199319387106E-15,361.598781,271.017295,164.9647073,70.5530082,73.41761064,51.79141647
FBgn0000108,-2.434397744,2.06983235861902E-37,3.04012589170898E-36,100.1369584,94.68653382,106.9166244,16.82072628,17.50893687,20.74961489
FBgn0000114,0.899770525,7.9669520461229E-07,1.35049423794736E-06,393.4351279,349.8514704,289.2390103,641.1325619,723.1670626,533.3288388
FBgn0000115,1.481999987,5.31566412271117E-16,1.78669659637344E-15,32.79920226,28.43650419,32.51226729,81.32511245,97.45042536,80.02411204
FBgn0000116,-0.783954657,6.94362269752582E-06,1.10269364437913E-05,1056.31446,1164.82763,1328.997341,690.0986152,627.3955763,716.0859702
FBgn0000117,1.476918377,2.38800364290845E-17,8.86307378266081E-17,180.4266723,197.4672391,216.3033799,569.8956106,575.0126748,487.6513589
FBgn0000120,-1.92132033,1.72302540517604E-26,1.31616841765065E-25,415.3944422,452.9070721,454.8379405,97.03443115,114.4556805,133.3263082
FBgn0000121,-1.223364695,7.02003085805674E-10,1.49813145981529E-09,586.3168002,626.7026777,607.6188927,193.2994263,250.4737367,325.9743254
FBgn0000139,2.05454253,3.19686903324679E-25,2.19123028520771E-24,15.0329677,16.982488,17.19077788,73.31015393,64.75908159,63.26389979
FBgn0000140,3.438423889,6.87191807289626E-55,1.99113826162169E-53,20.18890291,16.09671075,12.98487882,191.739181,192.8141692,141.0454482
FBgn0000146,2.963170008,1.21074273735971E-31,1.29386078445925E-30,6.95740654,8.00253931,11.95009414,72.30561246,77.63894337,57.88174712
FBgn0000147,2.193980159,4.69551112999059E-25,3.15733498925369E-24,21.21387798,19.82308401,14.72064669,84.5738423,98.05004649,68.69326432
FBgn0000150,1.170645705,5.5413859247465E-12,1.37767412547959E-11,485.3722857,544.2337611,606.5173477,1220.282778,1212.505871,1202.509821
FBgn0000152,-0.698504172,0.012969822,0.016119347,13.20043652,12.09544109,12.08361474,8.057704966,5.708393118,8.852224784
FBgn0000153,-4.603327082,1.03973743077595E-101,1.50631960283665E-99,337.0925588,377.4327414,351.9603145,11.43467416,13.95917981,17.89329703
FBgn0000157,-2.430903359,5.47699061047356E-15,1.69810684078131E-14,11.77168339,12.92013026,14.52036578,2.265561608,1.990742138,2.903529729
FBgn0000158,3.85336651,2.82304840176609E-39,4.49888050926449E-38,2.733266855,2.046450892,2.570271644,33.85518479,44.6357966,26.72191588
FBgn0000166,5.226748357,1.8591147332183E-76,1.08724099696331E-74,1.646172083,1.83264259,1.335206049,50.31256628,77.61495852,50.84717916
FBgn0000173,0.69054648,0.00017383,0.000249371,118.9902877,124.9556806,161.9938739,213.4971218,236.5625265,198.1954114
FBgn0000179,-3.001106503,1.29065795263112E-13,3.61719020402157E-13,4.627917743,5.100855209,3.738576937,0.683943127,0.383757521,0.566542386
FBgn0000180,-1.274694057,0.000877846,0.00119187,4.286259386,2.687875799,2.503511342,1.282393363,1.511045237,1.062266974
FBgn0000181,1.503045892,1.40749836563331E-19,6.22198219953507E-19,496.4917122,505.4428263,539.5901445,1483.515389,1513.323797,1314.213094
FBgn0000182,-4.518487577,9.09406057707967E-15,2.77236198702029E-14,2.081009992,1.74101046,1.201685444,0.085492891,0.071954535,0.047211866
FBgn0000183,1.236531071,4.11559754360467E-11,9.57127929285223E-11,63.36209527,76.32956387,82.68263457,184.2585531,188.4729123,144.6571559
FBgn0000206,-3.275202167,2.15454634114629E-28,1.91017463861433E-27,25.87285557,27.39800672,25.9363775,2.009082936,2.422469348,3.635313644
FBgn0000212,1.290105154,4.52900259445834E-12,1.13527829486334E-11,41.03006267,45.02191963,52.87415953,122.0411017,111.0498325,102.0956592
FBgn0000221,1.703565963,5.1744378766585E-13,1.38357610087079E-12,11.21260608,8.491244,8.278277503,29.38818124,30.74857133,29.67265747
FBgn0000228,1.178928343,1.60466299803837E-10,3.584693983177E-10,41.30960133,36.2252352,41.45814782,89.68204253,99.9208644,76.50682806
FBgn0000233,-2.296259029,0.00034709,0.000486537,1.056034921,1.343937899,2.47013119,0.064119668,0.647590816,0.283271193
FBgn0000239,1.066364292,2.9403085683963E-10,6.43867982454215E-10,99.23622274,94.28946125,99.773272,211.5307853,217.1827718,177.1861313
FBgn0000241,-1.140565715,0.004198472,0.005428633,3.727182075,4.33725413,6.976451605,1.923590045,1.750893687,3.068771258
FBgn0000246,1.801172043,1.49280140855711E-12,3.86823682066964E-12,6.429389079,6.536425238,7.677434781,25.3058957,25.73573872,19.99422504
FBgn0000247,0.505113746,0.006198269,0.007906126,42.42775595,44.50267089,45.33024536,69.31336128,58.47505219,56.98472167
FBgn0000250,0.569042439,0.000536417,0.000741572,326.9359877,341.2991383,291.0749186,481.1753631,500.7795794,419.6190607
FBgn0000251,2.223321546,7.49338160267726E-36,1.00561181107929E-34,36.58850403,36.46958754,41.29124706,175.9443694,194.4931084,157.0738766
