"submitted_item" "validated_id" "current_symbol"
"1" "FBgn0000008" "FBgn0000008" "a"
"2" "FBgn0000014" "FBgn0000014" "abd-A"
"3" "FBgn0000015" "FBgn0000015" "Abd-B"
"4" "FBgn0000017" "FBgn0000017" "Abl"
"5" "FBgn0000018" "FBgn0000018" "abo"
"6" "FBgn0000024" "FBgn0000024" "Ace"
"7" "FBgn0000028" "FBgn0000028" "acj6"
"8" "FBgn0000032" "FBgn0000032" "Acph-1"
"9" "FBgn0000036" "FBgn0000036" "nAChRα1"
"10" "FBgn0000037" "FBgn0000037" "mAChR-A"
"11" "FBgn0000038" "FBgn0000038" "nAChRβ1"
"12" "FBgn0000039" "FBgn0000039" "nAChRα2"
"13" "FBgn0000042" "FBgn0000042" "Act5C"
"14" "FBgn0000044" "FBgn0000044" "Act57B"
"15" "FBgn0000045" "FBgn0000045" "Act79B"
"16" "FBgn0000046" "FBgn0000046" "Act87E"
"17" "FBgn0000047" "FBgn0000047" "Act88F"
"18" "FBgn0000052" "FBgn0000052" "Pfas"
"19" "FBgn0000057" "FBgn0000057" "adp"
"20" "FBgn0000061" "FBgn0000061" "al"
"21" "FBgn0000063" "FBgn0000063" "Mps1"
"22" "FBgn0000064" "FBgn0000064" "Ald1"
"23" "FBgn0000071" "FBgn0000071" "Ama"
"24" "FBgn0000075" "FBgn0000075" "amd"
"25" "FBgn0000077" "FBgn0000077" "amx"
"26" "FBgn0000078" "FBgn0000078" "Amy-d"
"27" "FBgn0000079" "FBgn0000079" "Amy-p"
"28" "FBgn0000083" "FBgn0000083" "AnxB9"
"29" "FBgn0000084" "FBgn0000084" "AnxB10"
"30" "FBgn0000092" "FBgn0000092" "dyw"
"31" "FBgn0000097" "FBgn0000097" "aop"
"32" "FBgn0000108" "FBgn0000108" "Appl"
"33" "FBgn0000114" "FBgn0000114" "bru1"
"34" "FBgn0000115" "FBgn0000115" "Arl1"
"35" "FBgn0000116" "FBgn0000116" "Argk1"
"36" "FBgn0000117" "FBgn0000117" "arm"
"37" "FBgn0000120" "FBgn0000120" "Arr1"
"38" "FBgn0000121" "FBgn0000121" "Arr2"
"39" "FBgn0000139" "FBgn0000139" "ash2"
"40" "FBgn0000140" "FBgn0000140" "asp"
"41" "FBgn0000146" "FBgn0000146" "aub"
"42" "FBgn0000147" "FBgn0000147" "aurA"
"43" "FBgn0000150" "FBgn0000150" "awd"
"44" "FBgn0000152" "FBgn0000152" "Axs"
"45" "FBgn0000153" "FBgn0000153" "b"
"46" "FBgn0000157" "FBgn0000157" "Dll"
"47" "FBgn0000158" "FBgn0000158" "bam"
"48" "FBgn0000166" "FBgn0000166" "bcd"
"49" "FBgn0000173" "FBgn0000173" "ben"
"50" "FBgn0000179" "FBgn0000179" "bi"
"51" "FBgn0000180" "FBgn0000180" "bib"
"52" "FBgn0000181" "FBgn0000181" "bic"
"53" "FBgn0000182" "FBgn0000182" "BicC"
"54" "FBgn0000183" "FBgn0000183" "BicD"
"55" "FBgn0000206" "FBgn0000206" "boss"
"56" "FBgn0000212" "FBgn0000212" "brm"
"57" "FBgn0000221" "FBgn0000221" "brn"
"58" "FBgn0000228" "FBgn0000228" "Nin"
"59" "FBgn0000233" "FBgn0000233" "btd"
"60" "FBgn0000239" "FBgn0000239" "bur"
"61" "FBgn0000241" "FBgn0000241" "bw"
"62" "FBgn0000246" "FBgn0000246" "c(3)G"
"63" "FBgn0000247" "FBgn0000247" "ca"
"64" "FBgn0000250" "FBgn0000250" "cact"
"65" "FBgn0000251" "FBgn0000251" "cad"
"66" "FBgn0000253" "FBgn0000253" "Cam"
"67" "FBgn0000256" "FBgn0000256" "capu"
"68" "FBgn0000257" "FBgn0000257" "car"
"69" "FBgn0000259" "FBgn0000259" "CkIIβ"
"70" "FBgn0000261" "FBgn0000261" "Cat"
"71" "FBgn0000274" "FBgn0000274" "Pka-C2"
"72" "FBgn0000276" "FBgn0000276" "CecA1"
"73" "FBgn0000277" "FBgn0000277" "CecA2"
"74" "FBgn0000279" "FBgn0000279" "CecC"
"75" "FBgn0000283" "FBgn0000283" "Cp190"
"76" "FBgn0000287" "FBgn0000287" "salr"
"77" "FBgn0000289" "FBgn0000289" "cg"
"78" "FBgn0000299" "FBgn0000299" "Col4a1"
"79" "FBgn0000303" "FBgn0000303" "ChAT"
"80" "FBgn0000307" "FBgn0000307" "chif"
"81" "FBgn0000308" "FBgn0000308" "chic"
"82" "FBgn0000316" "FBgn0000316" "cin"
"83" "FBgn0000318" "FBgn0000318" "cl"
"84" "FBgn0000320" "FBgn0000320" "eya"
"85" "FBgn0000326" "FBgn0000326" "clt"
"86" "FBgn0000330" "FBgn0000330" "cm"
"87" "FBgn0000339" "FBgn0000339" "cni"
"88" "FBgn0000346" "FBgn0000346" "comt"
"89" "FBgn0000351" "FBgn0000351" "cort"
"90" "FBgn0000352" "FBgn0000352" "cos"
"91" "FBgn0000355" "FBgn0000355" "Cp15"
"92" "FBgn0000356" "FBgn0000356" "Cp16"
"93" "FBgn0000357" "FBgn0000357" "Cp18"
"94" "FBgn0000358" "FBgn0000358" "Cp19"
"95" "FBgn0000359" "FBgn0000359" "Cp36"
"96" "FBgn0000360" "FBgn0000360" "Cp38"
"97" "FBgn0000376" "FBgn0000376" "crm"
"98" "FBgn0000377" "FBgn0000377" "crn"
"99" "FBgn0000384" "FBgn0000384" "cta"
"100" "FBgn0000394" "FBgn0000394" "cv"
"101" "FBgn0000395" "FBgn0000395" "cv-2"
"102" "FBgn0000404" "FBgn0000404" "CycA"
"103" "FBgn0000405" "FBgn0000405" "CycB"
"104" "FBgn0000411" "FBgn0000411" "D"
"105" "FBgn0000412" "FBgn0000412" "D1"
"106" "FBgn0000414" "FBgn0000414" "Dab"
"107" "FBgn0000416" "FBgn0000416" "Sap-r"
"108" "FBgn0000422" "FBgn0000422" "Ddc"
"109" "FBgn0000426" "FBgn0000426" "SmF"
"110" "FBgn0000427" "FBgn0000427" "dec"
"111" "FBgn0000439" "FBgn0000439" "Dfd"
"112" "FBgn0000448" "FBgn0000448" "Hr3"
"113" "FBgn0000451" "FBgn0000451" "ect"
"114" "FBgn0000454" "FBgn0000454" "Dip-B"
"115" "FBgn0000459" "FBgn0000459" "disco"
"116" "FBgn0000463" "FBgn0000463" "Delta"
"117" "FBgn0000464" "FBgn0000464" "Lar"
"118" "FBgn0000473" "FBgn0000473" "Cyp6a2"
"119" "FBgn0000482" "FBgn0000482" "dor"
"120" "FBgn0000489" "FBgn0000489" "Pka-C3"
"121" "FBgn0000490" "FBgn0000490" "dpp"
"122" "FBgn0000499" "FBgn0000499" "dsh"
"123" "FBgn0000504" "FBgn0000504" "dsx"
"124" "FBgn0000520" "FBgn0000520" "dwg"
"125" "FBgn0000524" "FBgn0000524" "dx"
"126" "FBgn0000527" "FBgn0000527" "e"
"127" "FBgn0000533" "FBgn0000533" "ea"
"128" "FBgn0000535" "FBgn0000535" "eag"
"129" "FBgn0000541" "FBgn0000541" "E(bx)"
"130" "FBgn0000542" "FBgn0000542" "ec"
"131" "FBgn0000543" "FBgn0000543" "ecd"
"132" "FBgn0000546" "FBgn0000546" "EcR"
"133" "FBgn0000547" "FBgn0000547" "ed"
"134" "FBgn0000557" "FBgn0000557" "eEF1α2"
"135" "FBgn0000559" "FBgn0000559" "eEF2"
"136" "FBgn0000560" "FBgn0000560" "eg"
"137" "FBgn0000564" "FBgn0000564" "Eh"
"138" "FBgn0000566" "FBgn0000566" "Cth"
"139" "FBgn0000567" "FBgn0000567" "Eip74EF"
"140" "FBgn0000568" "FBgn0000568" "Eip75B"
"141" "FBgn0000576" "FBgn0000576" "ems"
"142" "FBgn0000577" "FBgn0000577" "en"
"143" "FBgn0000578" "FBgn0000578" "ena"
"144" "FBgn0000581" "FBgn0000581" "E(Pc)"
"145" "FBgn0000588" "FBgn0000588" "esc"
"146" "FBgn0000592" "FBgn0000592" "Est-6"
"147" "FBgn0000611" "FBgn0000611" "exd"
"148" "FBgn0000617" "FBgn0000617" "Taf9"
"149" "FBgn0000618" "FBgn0000618" "e(y)2"
"150" "FBgn0000625" "FBgn0000625" "eyg"
"151" "FBgn0000629" "FBgn0000629" "E(z)"
"152" "FBgn0000633" "FBgn0000633" "tei"
"153" "FBgn0000635" "FBgn0000635" "Fas2"
"154" "FBgn0000636" "FBgn0000636" "Fas3"
"155" "FBgn0000639" "FBgn0000639" "Fbp1"
"156" "FBgn0000640" "FBgn0000640" "Fbp2"
"157" "FBgn0000644" "FBgn0000644" "Fcp3C"
"158" "FBgn0000658" "FBgn0000658" "fj"
"159" "FBgn0000659" "FBgn0000659" "fkh"
"160" "FBgn0000662" "FBgn0000662" "fl(2)d"
"161" "FBgn0000667" "FBgn0000667" "Actn"
"162" "FBgn0000709" "FBgn0000709" "fliI"
"163" "FBgn0000711" "FBgn0000711" "flw"
"164" "FBgn0000719" "FBgn0000719" "fog"
"165" "FBgn0000723" "FBgn0000723" "FER"
"166" "FBgn0000808" "FBgn0000808" "gd"
"167" "FBgn0000810" "FBgn0000810" "fs(1)K10"
"168" "FBgn0000826" "FBgn0000826" "png"
"169" "FBgn0000927" "FBgn0000927" "fs(1)Ya"
"170" "FBgn0000996" "FBgn0000996" "dup"
"171" "FBgn0001075" "FBgn0001075" "ft"
"172" "FBgn0001077" "FBgn0001077" "ftz"
"173" "FBgn0001078" "FBgn0001078" "ftz-f1"
"174" "FBgn0001079" "FBgn0001079" "fu"
"175" "FBgn0001083" "FBgn0001083" "fw"
