"submitted_item" "validated_id" "current_symbol"
"1" 30972 "FBgn0261446" "CG13377"
"2" 30979 "FBgn0024989" "CG3777"
"3" 30996 "FBgn0023534" "CG17778"
"4" 31025 "FBgn0025620" "CG13360"
"5" 31060 "FBgn0040364" "CG11378"
"6" 31067 "FBgn0029568" "CG11381"
"7" 31080 "FBgn0024361" "Tsp2A"
"8" 31111 "FBgn0025390" "Mur2B"
"9" 31121 "FBgn0023531" "CG32809"
"10" 31168 "FBgn0025631" "moody"
"11" 31195 "FBgn0023542" "Nmd3"
"12" 31218 "FBgn0040392" "CG14050"
"13" 31269 "FBgn0024980" "Syx4"
"14" 31290 "FBgn0003285" "rst"
"15" 31294 "FBgn0000644" "Fcp3C"
"16" 31328 "FBgn0044046" "Ilp7"
"17" 31365 "FBgn0029696" "CG15571"
"18" 31366 "FBgn0029697" "CG15570"
"19" 31368 "FBgn0052774" "Muc4B"
"20" 31394 "FBgn0025739" "pon"
"21" 31457 "FBgn0029762" "NAAT1"
"22" 31461 "FBgn0029766" "CG15784"
"23" 31464 "FBgn0029769" "frma"
"24" 31503 "FBgn0029804" "CG3097"
"25" 31509 "FBgn0029810" "CG12239"
"26" 31526 "FBgn0029825" "CG12728"
"27" 31527 "FBgn0029826" "CG6041"
"28" 31540 "FBgn0029837" "Tsp5D"
"29" 31573 "FBgn0029863" "CG3823"
"30" 31593 "FBgn0029878" "Pat1"
"31" 31641 "FBgn0029924" "CG4586"
"32" 31644 "FBgn0261284" "bou"
"33" 31672 "FBgn0029948" "CheA7a"
"34" 31692 "FBgn0029966" "Ir7c"
"35" 31713 "FBgn0260970" "Ubr3"
"36" 31739 "FBgn0030006" "CG17982"
"37" 31762 "FBgn0017566" "ND-75"
"38" 31779 "FBgn0030040" "CG15347"
"39" 31786 "FBgn0014466" "Cp7Fc"
"40" 31792 "FBgn0264975" "Nrg"
"41" 31797 "FBgn0030051" "spirit"
"42" 31798 "FBgn0030052" "CG12065"
"43" 31831 "FBgn0265413" "CG44325"
"44" 31854 "FBgn0030098" "CG12057"
"45" 31918 "FBgn0052695" "CG32695"
"46" 31920 "FBgn0030157" "CG1468"
"47" 31921 "FBgn0030158" "CG9686"
"48" 31922 "FBgn0030159" "CG9689"
"49" 31923 "FBgn0030160" "CG9691"
"50" 31928 "FBgn0030164" "CG1889"
"51" 31945 "FBgn0083940" "RhoU"
"52" 32002 "FBgn0030230" "Rph"
"53" 32006 "FBgn0030234" "CG15211"
"54" 32040 "FBgn0030262" "Vago"
"55" 32041 "FBgn0030263" "CG2076"
"56" 32043 "FBgn0259101" "CG42249"
"57" 32052 "FBgn0030271" "CG15202"
"58" 32076 "FBgn0030292" "NdufV3"
"59" 32090 "FBgn0030301" "HP5"
"60" 32093 "FBgn0030304" "Cyp4g15"
"61" 32099 "FBgn0030310" "PGRP-SA"
"62" 32107 "FBgn0002948" "nod"
"63" 32108 "FBgn0030317" "pkm"
"64" 32146 "FBgn0030347" "CG15739"
"65" 32176 "FBgn0030373" "moon"
"66" 32191 "FBgn0287828" "Pkcδ"
"67" 32248 "FBgn0030439" "CG12716"
"68" 32263 "FBgn0030452" "MFS10"
"69" 32264 "FBgn0052645" "CG32645"
"70" 32312 "FBgn0086674" "Tpst"
"71" 32314 "FBgn0004169" "up"
"72" 32326 "FBgn0030510" "CG12177"
"73" 32329 "FBgn0265726" "Nna1"
"74" 32340 "FBgn0003218" "rdgB"
"75" 32361 "FBgn0030539" "CG1368"
"76" 32384 "FBgn0052602" "Muc12Ea"
"77" 32385 "FBgn0030562" "CG9400"
"78" 32387 "FBgn0052600" "dpr8"
"79" 32398 "FBgn0015773" "NetA"
"80" 32401 "FBgn0030576" "CG15890"
"81" 32407 "FBgn0030581" "CG14408"
"82" 32409 "FBgn0030583" "CG14410"
"83" 32420 "FBgn0030594" "fiz"
"84" 32422 "FBgn0030596" "CG12398"
"85" 32434 "FBgn0030605" "ND-B18"
"86" 32495 "FBgn0052495" "Gss2"
"87" 32498 "FBgn0003463" "sog"
"88" 32506 "FBgn0030670" "Pis"
"89" 32531 "FBgn0026374" "Rhp"
"90" 32610 "FBgn0030747" "CG4301"
"91" 32611 "FBgn0030748" "Traf-like"
"92" 32641 "FBgn0015336" "CG15865"
"93" 32648 "FBgn0030774" "sphe"
"94" 32649 "FBgn0030775" "CG9673"
"95" 32657 "FBgn0052572" "CG32572"
"96" 32675 "FBgn0030798" "CG13003"
"97" 32696 "FBgn0065032" "Arpc3B"
"98" 32698 "FBgn0260748" "CG5004"
"99" 32705 "FBgn0030824" "CG5070"
"100" 32709 "FBgn0030828" "CG5162"
"101" 32710 "FBgn0030829" "CG12998"
"102" 32718 "FBgn0262111" "f"
"103" 32720 "FBgn0030837" "CG8661"
"104" 32739 "FBgn0267967" "corolla"
"105" 32768 "FBgn0030876" "Srx"
"106" 32780 "FBgn0003380" "Sh"
"107" 32790 "FBgn0030893" "RhoGAP16F"
"108" 32794 "FBgn0283471" "wupA"
"109" 32831 "FBgn0030925" "Hayan"
"110" 32834 "FBgn0030928" "CG15044"
"111" 32835 "FBgn0030929" "CG15043"
"112" 32858 "FBgn0010383" "Cyp18a1"
"113" 32897 "FBgn0030985" "Obp18a"
"114" 32905 "FBgn0030993" "Mec2"
"115" 32906 "FBgn0030994" "HP1D3csd"
