EntrezID,Name,Young1,Young2,Young3,Old1,Old2,Old3
30972,CG13377,10.26,11.14,10.68,9.71,9.54,9.42
30979,CG3777,4.91,6.65,7.55,2.55,2.51,2.54
30996,CG17778,5.94,6.92,6.83,7.77,8.03,9.16
31025,CG13360,8.25,7.77,8.25,3.18,3.14,3.68
31060,CG11378,8.30,9.02,9.17,9.76,10.12,10.32
31067,CG11381,12.99,12.96,12.83,10.41,6.74,2.21
31080,Tsp2A,10.01,10.10,10.81,13.08,13.16,13.28
31111,Mur2B,11.28,10.95,11.02,6.08,3.35,2.08
31121,CG32809,8.46,8.46,8.21,9.73,9.96,9.73
31168,moody,10.09,10.33,10.52,11.46,11.89,11.87
31195,Nmd3,11.66,11.59,11.83,10.34,10.75,10.32
31218,CG14050,2.03,2.02,2.05,3.45,2.82,4.96
31269,Syx4,9.47,9.86,9.46,11.33,11.50,11.66
31290,rst,8.79,9.28,9.06,10.45,10.40,10.40
31294,Fcp3C,13.56,13.69,13.49,11.62,2.00,6.31
31328,Ilp7,5.08,3.07,2.96,1.90,1.91,1.91
31365,CG15571,12.47,12.99,12.90,10.37,7.28,2.18
31366,CG15570,4.97,5.35,5.15,2.30,2.24,2.16
31368,Muc4B,12.81,12.71,12.44,8.52,2.57,2.05
31394,pon,2.76,2.61,2.46,4.75,3.95,4.59
31457,NAAT1,3.97,4.53,4.17,4.73,6.58,6.09
31461,CG15784,11.01,11.72,11.80,13.97,14.27,14.32
31464,frma,4.83,4.38,4.69,6.29,5.63,6.80
31503,CG3097,7.93,8.38,8.57,9.24,9.23,9.57
31509,CG12239,3.98,4.92,4.96,7.21,7.66,7.68
31526,CG12728,6.26,5.64,6.16,9.93,10.31,10.49
31527,CG6041,4.22,4.37,4.25,8.84,8.92,9.44
31540,Tsp5D,9.56,10.20,10.37,8.03,8.01,8.18
31573,CG3823,4.30,5.63,5.61,2.64,2.57,2.99
31593,Pat1,11.93,12.06,11.76,10.81,10.85,10.89
31641,CG4586,10.78,10.57,10.83,9.43,9.57,9.41
31644,bou,9.23,8.23,8.63,6.89,6.51,6.36
31672,CheA7a,5.84,5.40,5.03,4.30,2.45,3.79
31692,Ir7c,10.69,10.42,10.50,5.74,2.37,2.39
31713,Ubr3,3.74,3.89,3.96,5.36,4.76,5.20
31739,CG17982,3.87,3.09,3.97,4.86,5.48,5.28
31762,ND75,11.62,11.68,11.63,10.56,10.64,10.39
31779,CG15347,10.33,11.14,11.59,13.12,13.46,13.40
31786,Cp7Fc,12.90,13.08,13.20,9.94,5.85,2.19
31792,Nrg,4.89,5.45,5.39,6.26,6.62,6.00
31797,spirit,1.72,1.83,2.16,2.72,4.66,3.62
31798,CG12065,5.32,5.34,5.69,7.07,7.42,7.25
31824,CG10962,9.08,8.78,9.24,10.39,9.70,10.77
31824,CG10962,9.08,8.78,9.24,10.39,9.70,10.77
31831,CG44325,11.30,12.03,11.93,12.61,12.99,12.70
31854,CG12057,11.88,12.32,11.57,6.45,2.21,2.23
31918,CG32695,8.27,8.20,8.28,10.31,10.24,10.54
31920,cg1468,10.86,11.49,12.17,13.19,12.87,13.56
31921,CG9686,2.62,3.67,3.07,5.08,5.92,5.32
31922,CG9689,2.51,2.64,2.77,4.22,5.98,4.78
31923,CG9691,9.04,9.02,8.46,9.75,9.73,10.14
31928,CG1889,3.44,6.16,5.10,2.08,2.24,2.14
31945,Tequila,11.49,11.46,11.33,9.46,8.97,9.33
32002,Rph,3.10,3.17,3.16,5.14,5.72,6.52
32006,CG15211,11.29,11.57,11.19,12.29,12.27,12.49
32040,Vago,10.49,11.58,11.73,13.38,13.74,13.27
32041,CG2076,7.90,8.05,8.05,8.84,9.30,9.04
32043,CG42249,10.64,11.07,10.65,9.34,9.61,9.10
32052,CG15202,7.33,8.42,7.59,5.58,5.27,5.14
32076,CG11752,10.27,10.60,10.04,9.69,9.09,9.13
32090,HP5,5.66,6.52,6.56,7.85,7.39,7.79
32093,Cyp4g15,4.72,5.49,5.23,5.89,6.66,6.21
32099,PGRP-SA,3.95,5.19,8.12,11.02,11.46,11.11
32107,nod,9.10,9.58,9.30,10.10,10.35,10.52
32108,CG1561,8.81,8.79,9.31,6.92,6.91,6.72
32146,CG15739,9.37,9.34,9.76,11.55,11.75,11.83
32176,moon,8.44,8.51,8.12,6.76,6.41,6.41
32191,Pkcdelta,7.20,7.98,7.57,4.31,4.32,4.44
32248,CG12716,10.77,10.80,10.68,5.39,2.45,2.45
32263,MFS10,4.87,5.15,5.96,6.15,6.86,7.16
32264,CG32645,10.29,9.97,9.66,4.98,4.37,2.84
32283,IP3K2,8.70,8.57,8.42,9.45,9.48,9.77
32312,Tango13,5.24,6.13,6.51,7.19,6.89,7.34
32314,up,13.46,13.61,13.53,12.31,11.60,11.60
32326,CG12177,10.44,10.38,10.33,8.31,8.52,8.26
32329,NnaD,9.86,9.92,9.32,6.13,5.43,5.49
32340,rdgB,7.73,9.06,8.33,9.19,9.52,9.58
32361,CG1368,6.72,7.00,6.64,2.60,1.90,1.92
32384,Muc12Ea,11.69,11.49,11.62,6.26,4.21,2.07
32385,CG9400,7.33,8.60,7.28,3.72,3.26,2.73
32387,dpr8,4.21,4.67,3.96,5.16,5.78,5.34
32398,NetA,3.31,3.27,3.07,4.73,5.40,5.57
32401,CG15890,6.63,6.98,6.70,3.94,3.82,3.89
32407,CG14408,3.74,3.93,4.08,4.90,5.17,5.27
32409,CG14410,3.67,2.81,3.24,3.97,5.32,5.50
32420,fiz,8.88,9.10,9.92,8.39,7.56,7.79
32422,CG12398,8.96,9.13,9.96,2.45,2.94,2.24
32434,ND-B18,10.04,10.41,10.46,9.22,9.10,8.55
