"submitted_item" "validated_id" "current_symbol"
"1" "FBgn0000008" "FBgn0000008" "a"
"2" "FBgn0000014" "FBgn0000014" "abd-A"
"3" "FBgn0000015" "FBgn0000015" "Abd-B"
"4" "FBgn0000017" "FBgn0000017" "Abl"
"5" "FBgn0000028" "FBgn0000028" "acj6"
"6" "FBgn0000032" "FBgn0000032" "Acph-1"
"7" "FBgn0000038" "FBgn0000038" "nAChRβ1"
"8" "FBgn0000039" "FBgn0000039" "nAChRα2"
"9" "FBgn0000044" "FBgn0000044" "Act57B"
"10" "FBgn0000045" "FBgn0000045" "Act79B"
"11" "FBgn0000046" "FBgn0000046" "Act87E"
"12" "FBgn0000047" "FBgn0000047" "Act88F"
"13" "FBgn0000052" "FBgn0000052" "Pfas"
"14" "FBgn0000053" "FBgn0000053" "Gart"
"15" "FBgn0000055" "FBgn0000055" "Adh"
"16" "FBgn0000057" "FBgn0000057" "adp"
"17" "FBgn0000064" "FBgn0000064" "Ald1"
"18" "FBgn0000075" "FBgn0000075" "amd"
"19" "FBgn0000077" "FBgn0000077" "amx"
"20" "FBgn0000078" "FBgn0000078" "Amy-d"
"21" "FBgn0000079" "FBgn0000079" "Amy-p"
"22" "FBgn0000083" "FBgn0000083" "AnxB9"
"23" "FBgn0000092" "FBgn0000092" "dyw"
"24" "FBgn0000094" "FBgn0000094" "Anp"
"25" "FBgn0000097" "FBgn0000097" "aop"
"26" "FBgn0000099" "FBgn0267978" "ap"
"27" "FBgn0000100" "FBgn0000100" "RpLP0"
"28" "FBgn0000114" "FBgn0000114" "bru1"
"29" "FBgn0000115" "FBgn0000115" "Arl1"
"30" "FBgn0000116" "FBgn0000116" "Argk1"
"31" "FBgn0000119" "FBgn0000119" "arr"
"32" "FBgn0000120" "FBgn0000120" "Arr1"
"33" "FBgn0000121" "FBgn0000121" "Arr2"
"34" "FBgn0000137" "FBgn0000137" "ase"
"35" "FBgn0000139" "FBgn0000139" "ash2"
"36" "FBgn0000140" "FBgn0000140" "asp"
"37" "FBgn0000147" "FBgn0000147" "aurA"
"38" "FBgn0000150" "FBgn0000150" "awd"
"39" "FBgn0000153" "FBgn0000153" "b"
"40" "FBgn0000157" "FBgn0000157" "Dll"
"41" "FBgn0000163" "FBgn0000163" "baz"
"42" "FBgn0000166" "FBgn0000166" "bcd"
"43" "FBgn0000180" "FBgn0000180" "bib"
"44" "FBgn0000181" "FBgn0000181" "bic"
"45" "FBgn0000182" "FBgn0000182" "BicC"
"46" "FBgn0000183" "FBgn0000183" "BicD"
"47" "FBgn0000206" "FBgn0000206" "boss"
"48" "FBgn0000210" "FBgn0283451" "br"
"49" "FBgn0000212" "FBgn0000212" "brm"
"50" "FBgn0000228" "FBgn0000228" "Nin"
"51" "FBgn0000239" "FBgn0000239" "bur"
"52" "FBgn0000244" "FBgn0000244" "by"
"53" "FBgn0000246" "FBgn0000246" "c(3)G"
"54" "FBgn0000247" "FBgn0000247" "ca"
"55" "FBgn0000250" "FBgn0000250" "cact"
"56" "FBgn0000251" "FBgn0000251" "cad"
"57" "FBgn0000253" "FBgn0000253" "Cam"
"58" "FBgn0000256" "FBgn0000256" "capu"
"59" "FBgn0000259" "FBgn0000259" "CkIIβ"
"60" "FBgn0000261" "FBgn0000261" "Cat"
"61" "FBgn0000274" "FBgn0000274" "Pka-C2"
"62" "FBgn0000276" "FBgn0000276" "CecA1"
"63" "FBgn0000277" "FBgn0000277" "CecA2"
"64" "FBgn0000278" "FBgn0000278" "CecB"
"65" "FBgn0000279" "FBgn0000279" "CecC"
"66" "FBgn0000283" "FBgn0000283" "Cp190"
"67" "FBgn0000287" "FBgn0000287" "salr"
"68" "FBgn0000299" "FBgn0000299" "Col4a1"
"69" "FBgn0000303" "FBgn0000303" "ChAT"
"70" "FBgn0000307" "FBgn0000307" "chif"
"71" "FBgn0000308" "FBgn0000308" "chic"
"72" "FBgn0000313" "FBgn0267435" "chp"
"73" "FBgn0000317" "FBgn0000317" "ck"
"74" "FBgn0000319" "FBgn0000319" "Chc"
"75" "FBgn0000320" "FBgn0000320" "eya"
"76" "FBgn0000326" "FBgn0000326" "clt"
"77" "FBgn0000339" "FBgn0000339" "cni"
"78" "FBgn0000346" "FBgn0000346" "comt"
"79" "FBgn0000351" "FBgn0000351" "cort"
"80" "FBgn0000352" "FBgn0000352" "cos"
"81" "FBgn0000356" "FBgn0000356" "Cp16"
"82" "FBgn0000358" "FBgn0000358" "Cp19"
"83" "FBgn0000370" "FBgn0000370" "crc"
"84" "FBgn0000376" "FBgn0000376" "crm"
"85" "FBgn0000377" "FBgn0000377" "crn"
"86" "FBgn0000382" "FBgn0000382" "csw"
"87" "FBgn0000384" "FBgn0000384" "cta"
"88" "FBgn0000392" "FBgn0000392" "cup"
"89" "FBgn0000394" "FBgn0000394" "cv"
"90" "FBgn0000395" "FBgn0000395" "cv-2"
"91" "FBgn0000404" "FBgn0000404" "CycA"
"92" "FBgn0000405" "FBgn0000405" "CycB"
"93" "FBgn0000406" "FBgn0000406" "Cyt-b5-r"
"94" "FBgn0000409" "FBgn0284248" "Cyt-c-p"
"95" "FBgn0000412" "FBgn0000412" "D1"
"96" "FBgn0000413" "FBgn0267821" "da"
"97" "FBgn0000414" "FBgn0000414" "Dab"
"98" "FBgn0000416" "FBgn0000416" "Sap-r"
"99" "FBgn0000422" "FBgn0000422" "Ddc"
"100" "FBgn0000439" "FBgn0000439" "Dfd"
"101" "FBgn0000447" "FBgn0000447" "Dhod"
"102" "FBgn0000451" "FBgn0000451" "ect"
"103" "FBgn0000459" "FBgn0000459" "disco"
"104" "FBgn0000490" "FBgn0000490" "dpp"
"105" "FBgn0000492" "FBgn0000492" "Dr"
"106" "FBgn0000497" "FBgn0284247" "ds"
"107" "FBgn0000500" "FBgn0000500" "Dsk"
"108" "FBgn0000504" "FBgn0000504" "dsx"
"109" "FBgn0000520" "FBgn0000520" "dwg"
"110" "FBgn0000524" "FBgn0000524" "dx"
"111" "FBgn0000527" "FBgn0000527" "e"
"112" "FBgn0000533" "FBgn0000533" "ea"
"113" "FBgn0000536" "FBgn0000536" "eas"
"114" "FBgn0000541" "FBgn0000541" "E(bx)"
"115" "FBgn0000542" "FBgn0000542" "ec"
"116" "FBgn0000546" "FBgn0000546" "EcR"
"117" "FBgn0000556" "FBgn0284245" "eEF1α1"
"118" "FBgn0000557" "FBgn0000557" "eEF1α2"
"119" "FBgn0000559" "FBgn0000559" "eEF2"
"120" "FBgn0000562" "FBgn0000562" "egl"
"121" "FBgn0000565" "FBgn0000565" "MsrA"
"122" "FBgn0000566" "FBgn0000566" "Cth"
"123" "FBgn0000567" "FBgn0000567" "Eip74EF"
"124" "FBgn0000568" "FBgn0000568" "Eip75B"
"125" "FBgn0000575" "FBgn0000575" "emc"
"126" "FBgn0000576" "FBgn0000576" "ems"
"127" "FBgn0000577" "FBgn0000577" "en"
"128" "FBgn0000578" "FBgn0000578" "ena"
"129" "FBgn0000579" "FBgn0000579" "Eno"
"130" "FBgn0000581" "FBgn0000581" "E(Pc)"
"131" "FBgn0000592" "FBgn0000592" "Est-6"
"132" "FBgn0000594" "FBgn0000594" "Est-P"
"133" "FBgn0000611" "FBgn0000611" "exd"
"134" "FBgn0000615" "FBgn0000615" "exu"
"135" "FBgn0000629" "FBgn0000629" "E(z)"
"136" "FBgn0000633" "FBgn0000633" "tei"
"137" "FBgn0000635" "FBgn0000635" "Fas2"
"138" "FBgn0000636" "FBgn0000636" "Fas3"
"139" "FBgn0000658" "FBgn0000658" "fj"
"140" "FBgn0000659" "FBgn0000659" "fkh"
"141" "FBgn0000662" "FBgn0000662" "fl(2)d"
"142" "FBgn0000667" "FBgn0000667" "Actn"
"143" "FBgn0000715" "FBgn0000715" "FMRFa"
"144" "FBgn0000719" "FBgn0000719" "fog"
"145" "FBgn0000721" "FBgn0000721" "for"
"146" "FBgn0000723" "FBgn0000723" "FER"
"147" "FBgn0000808" "FBgn0000808" "gd"
"148" "FBgn0000810" "FBgn0000810" "fs(1)K10"
"149" "FBgn0000996" "FBgn0000996" "dup"
"150" "FBgn0001075" "FBgn0001075" "ft"
"151" "FBgn0001078" "FBgn0001078" "ftz-f1"
"152" "FBgn0001079" "FBgn0001079" "fu"
"153" "FBgn0001083" "FBgn0001083" "fw"
"154" "FBgn0001084" "FBgn0001084" "fy"
"155" "FBgn0001086" "FBgn0001086" "fzy"
"156" "FBgn0001087" "FBgn0001087" "g"
"157" "FBgn0001090" "FBgn0001090" "bnb"
"158" "FBgn0001091" "FBgn0001091" "Gapdh1"
"159" "FBgn0001092" "FBgn0001092" "Gapdh2"
"160" "FBgn0001098" "FBgn0001098" "Gdh"
"161" "FBgn0001099" "FBgn0001099" "gdl"
"162" "FBgn0001104" "FBgn0001104" "Gαi"
"163" "FBgn0001105" "FBgn0001105" "Gβ13F"
"164" "FBgn0001108" "FBgn0001108" "DCTN1-p150"
"165" "FBgn0001112" "FBgn0001112" "Gld"
"166" "FBgn0001120" "FBgn0001120" "gnu"
"167" "FBgn0001128" "FBgn0001128" "Gpdh1"
"168" "FBgn0001134" "FBgn0001134" "Grd"
"169" "FBgn0001137" "FBgn0001137" "grk"
"170" "FBgn0001139" "FBgn0001139" "gro"
"171" "FBgn0001142" "FBgn0001142" "Gs1"
"172" "FBgn0001145" "FBgn0001145" "Gs2"
"173" "FBgn0001147" "FBgn0001147" "gsb-n"
"174" "FBgn0001149" "FBgn0001149" "GstD1"
"175" "FBgn0001168" "FBgn0001168" "hry"
