FlyBase ID,Chromosome,Gene Category,Gene Symbol,P-Value Population,"FDR
Population","P-Value
Age","FDR
Age","P-Value
Pop×Age","FDR
Pop×Age","P-Value
Line(Pop)","FDR
Line(Pop)","B
Mean","O
Mean","Week 1
Mean","Week 5
Mean","B Week 1
Mean","B Week 5
Mean","O Week 1
Mean","O Week 5
Mean",SNP From Divergence,"Minimum P-Value
From Divergence"
FBgn0000003,3R,ncRNA,7SLRNA:CR32864,4.27E-01,6.61E-01,2.16E-01,2.85E-01,7.36E-01,8.40E-01,1.91E-02,4.86E-02,139.56,155.42,140.37,154.60,134.35,144.76,146.38,164.45,,
FBgn0000008,2R,protein_coding,a,7.08E-01,8.56E-01,2.73E-06,9.17E-06,3.80E-01,5.53E-01,8.70E-06,1.13E-04,292.28,283.13,263.98,311.43,264.94,319.62,263.02,303.24,2R:18053841,2.99E-05
FBgn0000014,3R,protein_coding,abd-A,1.60E-01,3.91E-01,8.77E-05,2.29E-04,2.30E-01,3.93E-01,2.44E-02,5.84E-02,179.84,165.15,159.26,185.72,170.16,189.52,148.37,181.92,,
FBgn0000015,3R,protein_coding,Abd-B,9.44E-04,2.78E-02,2.03E-04,4.99E-04,5.14E-01,6.74E-01,7.47E-01,7.94E-01,302.52,261.36,260.16,303.72,284.11,320.92,236.21,286.51,,
FBgn0000017,3L,protein_coding,Abl,4.16E-01,6.52E-01,1.32E-05,3.94E-05,7.78E-01,8.70E-01,2.62E-03,1.07E-02,"3,256.08","3,035.96",3481.73,2810.31,"3,573.67","2,938.48","3,389.79","2,682.14",,
FBgn0000018,2L,protein_coding,abo,7.57E-03,7.62E-02,4.98E-01,5.73E-01,4.76E-02,1.22E-01,4.41E-02,9.22E-02,123.57,146.62,133.64,136.55,126.5,120.63,140.79,152.46,2L:10976224,0.00014669
FBgn0000022,X,protein_coding,ac,2.08E-01,4.53E-01,1.19E-01,1.69E-01,9.56E-01,9.76E-01,1.46E-01,2.32E-01,0.73,0.22,0.25,0.70,0.49,0.96,0,0.44,X :265959,7.59E-22
FBgn0000024,3R,protein_coding,Ace,1.44E-03,3.39E-02,3.21E-01,3.99E-01,7.18E-02,1.67E-01,2.29E-01,3.28E-01,"1,271.40","1,049.57",1140.76,1180.21,"1,288.23","1,254.58",993.29,"1,105.84",3R:9077860,0.000262923
FBgn0000028,X,protein_coding,acj6,2.60E-02,1.45E-01,2.72E-02,4.50E-02,5.11E-01,6.71E-01,2.46E-01,3.46E-01,32.07,25.64,31.19,26.52,35.07,29.07,27.31,23.97,,
FBgn0000032,3R,protein_coding,Acph-1,7.96E-01,9.05E-01,1.04E-06,3.80E-06,8.50E-03,3.11E-02,2.23E-02,5.45E-02,281.52,284.35,302.83,263.04,310.48,252.55,295.18,273.53,3R:25819359,0.000327163
