"submitted_item" "validated_id" "current_symbol"
"1" "FBgn0014454" "FBgn0014454" "Acp1"
"2" "FBgn0004181" "FBgn0004181" "Ebp"
"3" "FBgn0031940" "FBgn0031940" "CG7214"
"4" "FBgn0011559" "FBgn0011559" "Acp36DE"
"5" "FBgn0002863" "FBgn0002863" "Acp95EF"
"6" "FBgn0043825" "FBgn0043825" "CG18284"
"7" "FBgn0042201" "FBgn0042201" "Nplp3"
"8" "FBgn0039778" "FBgn0039778" "Jon99Fi"
"9" "FBgn0011668" "FBgn0011668" "Mst57Da"
"10" "FBgn0015585" "FBgn0015585" "Acp63F"
"11" "FBgn0015584" "FBgn0015584" "Acp53Ea"
"12" "FBgn0034152" "FBgn0034152" "Acp53C14a"
"13" "FBgn0002565" "FBgn0002565" "Lsp2"
"14" "FBgn0011669" "FBgn0011669" "Mst57Db"
"15" "FBgn0011670" "FBgn0011670" "Mst57Dc"
"16" "FBgn0032275" "FBgn0265264" "CG17097"
"17" "FBgn0038820" "FBgn0038820" "CG4000"
"18" "FBgn0046294" "FBgn0046294" "CG12699"
"19" "FBgn0031942" "FBgn0031942" "CG7203"
"20" "FBgn0030191" "FBgn0030191" "CG15306"
"21" "FBgn0040074" "FBgn0040074" "retinin"
"22" "FBgn0033953" "FBgn0033953" "CG12861"
"23" "FBgn0003034" "FBgn0003034" "SP"
"24" "FBgn0034153" "FBgn0034153" "Acp53C14b"
"25" "FBgn0020509" "FBgn0020509" "Acp62F"
"26" "FBgn0031653" "FBgn0031653" "Jon25Biii"
"27" "FBgn0019828" "FBgn0019828" "dj"
"28" "FBgn0045827" "FBgn0045827" "CG13245"
"29" "FBgn0038032" "FBgn0038032" "CG10096"
"30" "FBgn0051872" "FBgn0051872" "CG31872"
"31" "FBgn0028883" "FBgn0028883" "CG4959"
"32" "FBgn0004173" "FBgn0004173" "Mst84Db"
"33" "FBgn0033287" "FBgn0033287" "CG8701"
"34" "FBgn0032868" "FBgn0032868" "CG17472"
"35" "FBgn0028986" "FBgn0028986" "Spn38F"
"36" "FBgn0003889" "FBgn0003889" "βTub85D"
"37" "FBgn0004414" "FBgn0004414" "msopa"
"38" "FBgn0038762" "FBgn0270925" "CG4836"
"39" "FBgn0031728" "FBgn0031728" "Hsp60C"
"40" "FBgn0037888" "FBgn0037888" "scpr-B"
"41" "FBgn0020372" "FBgn0020372" "TM4SF"
"42" "FBgn0040637" "FBgn0040637" "CG11458"
"43" "FBgn0023414" "FBgn0267327" "Acp33A"
"44" "FBgn0002563" "FBgn0002563" "Lsp1β"
"45" "FBgn0002855" "FBgn0002855" "Acp26Aa"
"46" "FBgn0041102" "FBgn0041102" "ocn"
"47" "FBgn0004174" "FBgn0004174" "Mst84Dc"
"48" "FBgn0045770" "FBgn0045770" "S-Lap3"
"49" "FBgn0034660" "FBgn0034660" "Loxl2"
"50" "FBgn0038200" "FBgn0038200" "CG9920"
"51" "FBgn0013300" "FBgn0013300" "ProtA"
"52" "FBgn0004171" "FBgn0004171" "Mst98Cb"
"53" "FBgn0031859" "FBgn0031859" "CG17377"
"54" "FBgn0035926" "FBgn0035926" "Acbp5"
"55" "FBgn0040519" "FBgn0040519" "CG15219"
"56" "FBgn0013972" "FBgn0013972" "Gycα99B"
"57" "FBgn0037879" "FBgn0037879" "scpr-C"
"58" "FBgn0038975" "FBgn0038975" "Nrx-1"
"59" "FBgn0002862" "FBgn0002862" "Mst87F"
"60" "FBgn0011823" "FBgn0287720" "Pen"
"61" "FBgn0004172" "FBgn0004172" "Mst84Da"
"62" "FBgn0015774" "FBgn0015774" "NetB"
"63" "FBgn0039104" "FBgn0039104" "CG10252"
"64" "FBgn0001203" "FBgn0263220" "Hk"
"65" "FBgn0035915" "FBgn0035915" "S-Lap1"
"66" "FBgn0032360" "FBgn0032360" "CG14926"
"67" "FBgn0030277" "FBgn0030277" "CG1394"
"68" "FBgn0004175" "FBgn0004175" "Mst84Dd"
"69" "FBgn0038693" "FBgn0038693" "unc79"
"70" "FBgn0003435" "FBgn0003435" "sm"
"71" "FBgn0051624" "FBgn0051624" "CG31624"
"72" "FBgn0033728" "FBgn0033728" "Cpr49Ae"
"73" "FBgn0040747" "FBgn0040747" "CG12853"
"74" "FBgn0038978" "FBgn0038978" "tHMG1"
"75" "FBgn0035198" "FBgn0035198" "CG9133"
"76" "FBgn0040994" "FBgn0040994" "CR17567"
"77" "FBgn0039190" "FBgn0039190" "CG5762"
"78" "FBgn0035905" "FBgn0086348" "se"
"79" "FBgn0034132" "FBgn0034132" "S-Lap8"
"80" "FBgn0035670" "FBgn0035670" "CG10472"
"81" "FBgn0034435" "FBgn0034435" "fest"
"82" "FBgn0042189" "FBgn0042189" "CG17376"
"83" "FBgn0033774" "FBgn0033774" "CG12374"
"84" "FBgn0039071" "FBgn0039071" "bb8"
"85" "FBgn0003356" "FBgn0003356" "Jon99Cii"
"86" "FBgn0033286" "FBgn0033286" "CG2127"
"87" "FBgn0034472" "FBgn0034472" "CG8517"
"88" "FBgn0028397" "FBgn0028397" "Tob"
"89" "FBgn0038641" "FBgn0038641" "ChT"
"90" "FBgn0032055" "FBgn0032055" "Sgp"
"91" "FBgn0000047" "FBgn0000047" "Act88F"
"92" "FBgn0001281" "FBgn0001281" "janB"
"93" "FBgn0035988" "FBgn0035988" "CG3982"
"94" "FBgn0033308" "FBgn0033308" "CG8736"
"95" "FBgn0027111" "FBgn0027111" "miple1"
"96" "FBgn0025698" "FBgn0261794" "kcc"
"97" "FBgn0000570" "FBgn0260400" "elav"
"98" "FBgn0035664" "FBgn0250815" "Jon65Aiv"
"99" "FBgn0033285" "FBgn0033285" "CG18449"
"100" "FBgn0028870" "FBgn0028870" "CG4691"
"101" "FBgn0040060" "FBgn0040060" "yip7"
"102" "FBgn0003357" "FBgn0003357" "Jon99Ciii"
"103" "FBgn0028415" "FBgn0028415" "Met75Cb"
"104" "FBgn0039927" "FBgn0039927" "CG11155"
"105" "FBgn0032661" "FBgn0243486" "rdo"
"106" "FBgn0035495" "FBgn0035495" "CG14989"
"107" "FBgn0039777" "FBgn0039777" "Jon99Fii"
"108" "FBgn0010240" "FBgn0010240" "Lcch3"
"109" "FBgn0051345" "FBgn0051345" "CG31345"
"110" "FBgn0033954" "FBgn0033954" "CG12860"
"111" "FBgn0029752" "FBgn0029752" "TrxT"
"112" "FBgn0035967" "FBgn0263456" "nwk"
"113" "FBgn0000093" "FBgn0086915" "Mst77F"
"114" "FBgn0000408" "FBgn0086907" "Cyt-c-d"
"115" "FBgn0039647" "FBgn0039647" "jus"
"116" "FBgn0036723" "FBgn0036723" "CG12229"
"117" "FBgn0031545" "FBgn0031545" "CG3213"
"118" "FBgn0013343" "FBgn0013343" "Syx1A"
"119" "FBgn0032122" "FBgn0032122" "CG31883"
"120" "FBgn0039313" "FBgn0039313" "CG11892"
"121" "FBgn0038225" "FBgn0038225" "soti"
"122" "FBgn0031585" "FBgn0031585" "CG2955"
"123" "FBgn0050007" "FBgn0285892" "tea"
"124" "FBgn0028987" "FBgn0028987" "Spn28F"
"125" "FBgn0000303" "FBgn0000303" "ChAT"
"126" "FBgn0039553" "FBgn0267366" "mil"
"127" "FBgn0052677" "FBgn0052677" "X11Lβ"
"128" "FBgn0032371" "FBgn0032371" "CG4983"
"129" "FBgn0001217" "FBgn0001217" "Hsc70-2"
"130" "FBgn0024963" "FBgn0024963" "GluClα"
"131" "FBgn0039830" "FBgn0039830" "ATPsynC"
"132" "FBgn0017590" "FBgn0017590" "klg"
"133" "FBgn0034134" "FBgn0259795" "loopin-1"
"134" "FBgn0033709" "FBgn0061197" "salto"
"135" "FBgn0032797" "FBgn0032797" "Hasp"
"136" "FBgn0000094" "FBgn0000094" "Anp"
"137" "FBgn0032464" "FBgn0032464" "Vha68-3"
"138" "FBgn0003383" "FBgn0262593" "Shab"
"139" "FBgn0032265" "FBgn0032265" "CG18301"
"140" "FBgn0040371" "FBgn0040371" "CG12470"
"141" "FBgn0011244" "FBgn0011244" "Hsp60B"
"142" "FBgn0005775" "FBgn0005775" "Con"
"143" "FBgn0034474" "FBgn0034474" "Obp56g"
"144" "FBgn0028513" "FBgn0028513" "CG9254"
"145" "FBgn0033020" "FBgn0033020" "COX4L"
"146" "FBgn0037460" "FBgn0037460" "sowi"
"147" "FBgn0000346" "FBgn0000346" "comt"
"148" "FBgn0031692" "FBgn0031692" "TpnC25D"
"149" "FBgn0033512" "FBgn0033512" "CG12902"
"150" "FBgn0033132" "FBgn0033132" "Tsp42Ej"
"151" "FBgn0032414" "FBgn0032414" "CG17211"
"152" "FBgn0031347" "FBgn0031347" "nis"
"153" "FBgn0003638" "FBgn0003638" "su(w[a])"
"154" "FBgn0038395" "FBgn0038395" "Jhbp5"
"155" "FBgn0050364" "FBgn0050364" "hubl"
"156" "FBgn0028743" "FBgn0028743" "Dhit"
"157" "FBgn0032049" "FBgn0032049" "Bace"
"158" "FBgn0029947" "FBgn0029947" "CG1999"
"159" "FBgn0030897" "FBgn0030897" "Frq1"
"160" "FBgn0033872" "FBgn0033872" "CG6329"
"161" "FBgn0052436" "FBgn0052436" "CG32436"
"162" "FBgn0028704" "FBgn0028704" "Nckx30C"
"163" "FBgn0034416" "FBgn0034416" "CG15109"
"164" "FBgn0027505" "FBgn0027505" "Rab3-GAP"
"165" "FBgn0037040" "FBgn0037040" "CG12983"
"166" "FBgn0039905" "FBgn0262636" "dati"
"167" "FBgn0002741" "FBgn0264695" "Mhc"
"168" "FBgn0034144" "FBgn0034144" "CG5089"
"169" "FBgn0032755" "FBgn0032755" "CG17344"
"170" "FBgn0038946" "FBgn0038946" "rdhB"
"171" "FBgn0033868" "FBgn0033868" "S-Lap7"
"172" "FBgn0030716" "FBgn0030716" "Cep164"
"173" "FBgn0031746" "FBgn0031746" "CG9029"
"174" "FBgn0034595" "FBgn0034595" "CG15657"
"175" "FBgn0004118" "FBgn0004118" "nAChRβ2"
"176" "FBgn0033031" "FBgn0033031" "CG8245"
"177" "FBgn0010425" "FBgn0010425" "εTry"
"178" "FBgn0032946" "FBgn0032946" "nrv3"
"179" "FBgn0035047" "FBgn0035047" "Pof"
"180" "FBgn0033364" "FBgn0033364" "CG13747"
"181" "FBgn0000313" "FBgn0267435" "chp"
"182" "FBgn0028482" "FBgn0028482" "bdl"
"183" "FBgn0011206" "FBgn0011206" "bol"
"184" "FBgn0040963" "FBgn0040963" "CG18662"
"185" "FBgn0005614" "FBgn0005614" "trpl"
"186" "FBgn0003360" "FBgn0003360" "sesB"
"187" "FBgn0003380" "FBgn0003380" "Sh"
"188" "FBgn0004551" "FBgn0263006" "SERCA"
"189" "FBgn0004244" "FBgn0004244" "Rdl"
"190" "FBgn0037064" "FBgn0037064" "CG9389"
"191" "FBgn0032505" "FBgn0032505" "CG16826"
"192" "FBgn0031176" "FBgn0031176" "whe"
"193" "FBgn0035744" "FBgn0250836" "Acbp3"
"194" "FBgn0033167" "FBgn0033167" "CG1701"
"195" "FBgn0033822" "FBgn0259219" "CG42319"
"196" "FBgn0002865" "FBgn0002865" "Mst98Ca"
"197" "FBgn0039511" "FBgn0039511" "CG3330"
"198" "FBgn0025937" "FBgn0086784" "stmA"
"199" "FBgn0036970" "FBgn0036970" "Spn77Bc"
"200" "FBgn0037763" "FBgn0037763" "CG16904"
"201" "FBgn0033776" "FBgn0250842" "CG17575"
"202" "FBgn0003162" "FBgn0003162" "Pu"
"203" "FBgn0039734" "FBgn0039734" "Tace"
"204" "FBgn0011817" "FBgn0011817" "nmo"
"205" "FBgn0051211" "FBgn0051211" "CG31211"
"206" "FBgn0029708" "FBgn0029708" "CG3556"
"207" "FBgn0002938" "FBgn0002938" "ninaC"
"208" "FBgn0030706" "FBgn0030706" "Lrp4"
"209" "FBgn0013995" "FBgn0013995" "Calx"
"210" "FBgn0034816" "FBgn0034816" "CG3085"
"211" "FBgn0028881" "FBgn0250844" "CG4218"
"212" "FBgn0039398" "FBgn0039398" "CG14540"
"213" "FBgn0032911" "FBgn0032911" "tadr"
"214" "FBgn0035521" "FBgn0035521" "VhaM9.7-a"
"215" "FBgn0004431" "FBgn0004431" "LysX"
"216" "FBgn0032318" "FBgn0032318" "CG14072"
"217" "FBgn0035833" "FBgn0035833" "CG7565"
"218" "FBgn0039229" "FBgn0039229" "Saf-B"
"219" "FBgn0033063" "FBgn0033063" "CG14589"
"220" "FBgn0032061" "FBgn0032061" "CatB"
"221" "FBgn0052432" "FBgn0052432" "CG32432"
"222" "FBgn0011286" "FBgn0011286" "RyR"
"223" "FBgn0023416" "FBgn0023416" "Ac3"
"224" "FBgn0035542" "FBgn0035542" "TP53INP"
"225" "FBgn0036091" "FBgn0036091" "CG18628"
"226" "FBgn0053171" "FBgn0260660" "Mp"
"227" "FBgn0035491" "FBgn0035491" "Dpy-30L2"
"228" "FBgn0033261" "FBgn0033261" "udd"
"229" "FBgn0031129" "FBgn0031129" "CG1324"
"230" "FBgn0023534" "FBgn0023534" "CG17778"
"231" "FBgn0037038" "FBgn0037038" "CG11037"
"232" "FBgn0034658" "FBgn0034658" "Grx1t"
"233" "FBgn0003141" "FBgn0003141" "pr"
"234" "FBgn0037828" "FBgn0037828" "tomboy20"
"235" "FBgn0000037" "FBgn0000037" "mAChR-A"
"236" "FBgn0028428" "FBgn0263397" "Ih"
"237" "FBgn0011474" "FBgn0011474" "Set8"
"238" "FBgn0027575" "FBgn0027575" "GABA-B-R2"
"239" "FBgn0028583" "FBgn0028583" "lcs"
"240" "FBgn0037939" "FBgn0037939" "CG14718"
"241" "FBgn0031831" "FBgn0031831" "COX5BL"
"242" "FBgn0032180" "FBgn0265002" "CG44153"
"243" "FBgn0037908" "FBgn0037908" "dpr5"
"244" "FBgn0010019" "FBgn0010019" "Cyp4g1"
"245" "FBgn0019643" "FBgn0287831" "speck"
"246" "FBgn0003423" "FBgn0003423" "slgA"
"247" "FBgn0038539" "FBgn0038539" "Atg8b"
"248" "FBgn0038598" "FBgn0038598" "CG7131"
"249" "FBgn0005619" "FBgn0005619" "Hdc"
"250" "FBgn0002772" "FBgn0002772" "Mlc1"
"251" "FBgn0034097" "FBgn0034097" "CG3687"
"252" "FBgn0032740" "FBgn0032740" "CG15172"
"253" "FBgn0039760" "FBgn0039760" "CG9682"
"254" "FBgn0034659" "FBgn0034659" "CG4021"
"255" "FBgn0024832" "FBgn0263351" "AP-2μ"
