"submitted_item" "validated_id" "current_symbol"
"1" "FBgn0033926" "FBgn0033926" "Arc1"
"2" "FBgn0012042" "FBgn0012042" "AttA"
"3" "FBgn0041579" "FBgn0041579" "AttC"
"4" "FBgn0067903" "FBgn0067903" "IM18"
"5" "FBgn0032836" "FBgn0032836" "CG10680"
"6" "FBgn0033821" "FBgn0033821" "CG10799"
"7" "FBgn0034296" "FBgn0034296" "CG10912"
"8" "FBgn0029568" "FBgn0029568" "CG11381"
"9" "FBgn0034200" "FBgn0034200" "Gbp2"
"10" "FBgn0033296" "FBgn0033296" "Mal-A7"
"11" "FBgn0037562" "FBgn0037562" "Nazo"
"12" "FBgn0039310" "FBgn0039310" "CG11878"
"13" "FBgn0261575" "FBgn0261575" "tobi"
"14" "FBgn0033301" "FBgn0033301" "CG12780"
"15" "FBgn0032789" "FBgn0032789" "CG13083"
"16" "FBgn0032788" "FBgn0032788" "CG13084"
"17" "FBgn0040827" "FBgn0040827" "CG13315"
"18" "FBgn0033787" "FBgn0033787" "CG13321"
"19" "FBgn0033788" "FBgn0033788" "CG13323"
"20" "FBgn0261989" "FBgn0261989" "CG42807"
"21" "FBgn0034511" "FBgn0034511" "GNBP-like3"
"22" "FBgn0035583" "FBgn0035583" "hoka"
"23" "FBgn0035176" "FBgn0035176" "mat"
"24" "FBgn0039452" "FBgn0039452" "CG14245"
"25" "FBgn0038658" "FBgn0038658" "CG14292"
"26" "FBgn0038611" "FBgn0038611" "CG14309"
"27" "FBgn0030157" "FBgn0030157" "CG1468"
"28" "FBgn0264776" "FBgn0264776" "CG44014"
"29" "FBgn0030929" "FBgn0030929" "CG15043"
"30" "FBgn0040734" "FBgn0040734" "BomS5"
"31" "FBgn0034331" "FBgn0034331" "BomBc2"
"32" "FBgn0040733" "FBgn0040733" "BomS6"
"33" "FBgn0028526" "FBgn0028526" "CG15293"
"34" "FBgn0029697" "FBgn0029697" "CG15570"
"35" "FBgn0030347" "FBgn0030347" "CG15739"
"36" "FBgn0029766" "FBgn0029766" "CG15784"
"37" "FBgn0033446" "FBgn0033446" "CG1648"
"38" "FBgn0031561" "FBgn0031561" "IM33"
"39" "FBgn0031560" "FBgn0031560" "CG16713"
"40" "FBgn0030484" "FBgn0030484" "GstT4"
"41" "FBgn0040735" "FBgn0040735" "BomT2"
