"submitted_item" "validated_id" "current_symbol"
"1" "FBgn0250848" "FBgn0250848" "CtsK1"
"2" "FBgn0004168" "FBgn0004168" "5-HT1A"
"3" "FBgn0087012" "FBgn0087012" "5-HT2A"
"4" "FBgn0028550" "FBgn0028550" "Atf3"
"5" "FBgn0261953" "FBgn0261953" "TfAP-2"
"6" "FBgn0043012" "FBgn0043012" "AP-2σ"
"7" "FBgn0263351" "FBgn0263351" "AP-2μ"
"8" "FBgn0033807" "FBgn0033807" "AQP"
"9" "FBgn0020236" "FBgn0020236" "Acly"
"10" "FBgn0016119" "FBgn0016119" "ATPsynCF6"
"11" "FBgn0019644" "FBgn0019644" "ATPsynB"
"12" "FBgn0010217" "FBgn0010217" "ATPsynβ"
"13" "FBgn0016120" "FBgn0016120" "ATPsynD"
"14" "FBgn0020235" "FBgn0020235" "ATPsynγ"
"15" "FBgn0027885" "FBgn0286781" "cass"
"16" "FBgn0002069" "FBgn0002069" "AspRS"
"17" "FBgn0027087" "FBgn0027087" "HisRS"
"18" "FBgn0010803" "FBgn0010803" "TrpRS"
"19" "FBgn0027080" "FBgn0027080" "TyrRS"
"20" "FBgn0023416" "FBgn0023416" "Ac3"
"21" "FBgn0012034" "FBgn0012034" "AcCoAS"
"22" "FBgn0010100" "FBgn0010100" "mAcon1"
"23" "FBgn0034628" "FBgn0034628" "Acox57D-p"
"24" "FBgn0014454" "FBgn0014454" "Acp1"
"25" "FBgn0020765" "FBgn0020765" "Acp65Aa"
"26" "FBgn0000045" "FBgn0000045" "Act79B"
"27" "FBgn0000046" "FBgn0000046" "Act87E"
"28" "FBgn0000047" "FBgn0000047" "Act88F"
"29" "FBgn0000667" "FBgn0000667" "Actn"
"30" "FBgn0036752" "FBgn0036752" "Adgf-A"
"31" "FBgn0038173" "FBgn0038173" "Adgf-C"
"32" "FBgn0022709" "FBgn0022709" "Ak1"
"33" "FBgn0014455" "FBgn0014455" "Ahcy"
"34" "FBgn0010379" "FBgn0010379" "Akt"
"35" "FBgn0040505" "FBgn0040505" "Alk"
"36" "FBgn0031068" "FBgn0031068" "Alr"
"37" "FBgn0000078" "FBgn0000078" "Amy-d"
"38" "FBgn0000079" "FBgn0000079" "Amy-p"
"39" "FBgn0035076" "FBgn0035076" "Ance-5"
"40" "FBgn0030749" "FBgn0030749" "AnxB11"
"41" "FBgn0040281" "FBgn0040281" "Aplip1"
"42" "FBgn0000109" "FBgn0000109" "Aprt"
"43" "FBgn0033926" "FBgn0033926" "Arc1"
"44" "FBgn0033928" "FBgn0033928" "Arc2"
"45" "FBgn0038742" "FBgn0038742" "Arc42"
"46" "FBgn0000116" "FBgn0000116" "Argk1"
"47" "FBgn0034075" "FBgn0034075" "Asph"
"48" "FBgn0015905" "FBgn0015905" "ast"
"49" "FBgn0261108" "FBgn0261108" "Atg13"
"50" "FBgn0002921" "FBgn0002921" "Atpα"
"51" "FBgn0012042" "FBgn0012042" "AttA"
"52" "FBgn0041581" "FBgn0041581" "AttB"
"53" "FBgn0041579" "FBgn0041579" "AttC"
"54" "FBgn0000152" "FBgn0000152" "Axs"
"55" "FBgn0260960" "FBgn0260960" "Baldspot"
"56" "FBgn0025463" "FBgn0025463" "Bap60"
"57" "FBgn0013753" "FBgn0013753" "Bgb"
"58" "FBgn0039282" "FBgn0039282" "Bili"
"59" "FBgn0024491" "FBgn0024491" "Bin1"
"60" "FBgn0040491" "FBgn0040491" "Buffy"
"61" "FBgn0011566" "FBgn0011566" "Smyd3"
"62" "FBgn0032785" "FBgn0032785" "CG10026"
"63" "FBgn0034440" "FBgn0034440" "CG10073"
"64" "FBgn0034644" "FBgn0034644" "Ip6k"
"65" "FBgn0038088" "FBgn0038088" "CG10126"
"66" "FBgn0033949" "FBgn0033949" "Had2"
"67" "FBgn0032684" "FBgn0032684" "Ugt301D1"
"68" "FBgn0039094" "FBgn0039094" "CG10184"
"69" "FBgn0032797" "FBgn0032797" "Hasp"
"70" "FBgn0032796" "FBgn0032796" "cyst"
