"submitted_item" "validated_id" "current_symbol"
"1" "FBgn0027360" "FBgn0027360" "Tim10"
"2" "FBgn0033728" "FBgn0033728" "Cpr49Ae"
"3" "FBgn0038293" "FBgn0266064" "Glys"
"4" "FBgn0028688" "FBgn0028688" "Rpn7"
"5" "FBgn0037235" "FBgn0037235" "CG1103"
"6" "FBgn0001142" "FBgn0001142" "Gs1"
"7" "FBgn0038738" "FBgn0038738" "CG4572"
"8" "FBgn0040475" "FBgn0040475" "SH3PX1"
"9" "FBgn0035414" "FBgn0035414" "CG14965"
"10" "FBgn0052486" "FBgn0266918" "CG32486"
"11" "FBgn0037920" "FBgn0037920" "CG14710"
"12" "FBgn0028982" "FBgn0028982" "Spt6"
"13" "FBgn0000392" "FBgn0000392" "cup"
"14" "FBgn0031950" "FBgn0031950" "Herp"
"15" "FBgn0004885" "FBgn0004885" "tok"
"16" "FBgn0033830" "FBgn0033830" "CG10814"
"17" "FBgn0037094" "FBgn0037094" "CG7611"
"18" "FBgn0040732" "FBgn0040732" "CG16926"
"19" "FBgn0033968" "FBgn0033968" "hui"
"20" "FBgn0027932" "FBgn0027932" "Akap200"
"21" "FBgn0011823" "FBgn0287720" "Pen"
"22" "FBgn0033848" "FBgn0033848" "CG13330"
"23" "FBgn0038975" "FBgn0038975" "Nrx-1"
"24" "FBgn0036945" "FBgn0036945" "Ssk"
"25" "FBgn0004167" "FBgn0004167" "kst"
"26" "FBgn0038299" "FBgn0038299" "Spn88Eb"
"27" "FBgn0031408" "FBgn0262126" "Sec24CD"
"28" "FBgn0012042" "FBgn0012042" "AttA"
"29" "FBgn0015010" "FBgn0015010" "Ag5r"
"30" "FBgn0050069" "FBgn0050069" "Sdb"
"31" "FBgn0035473" "FBgn0035473" "mge"
"32" "FBgn0034582" "FBgn0034582" "Cht9"
"33" "FBgn0037894" "FBgn0037894" "Ipo9"
"34" "FBgn0040723" "FBgn0040723" "CG5011"
"35" "FBgn0030748" "FBgn0030748" "Traf-like"
"36" "FBgn0039476" "FBgn0039476" "CG6271"
"37" "FBgn0030955" "FBgn0030955" "CG6891"
"38" "FBgn0035047" "FBgn0035047" "Pof"
"39" "FBgn0036831" "FBgn0036831" "CG6839"
"40" "FBgn0037971" "FBgn0260744" "Tango9"
"41" "FBgn0037925" "FBgn0262081" "Csk"
"42" "FBgn0038810" "FBgn0038810" "Srp72"
"43" "FBgn0036996" "FBgn0036996" "mag"
"44" "FBgn0035165" "FBgn0035165" "CG13887"
"45" "FBgn0038250" "FBgn0038250" "CG3505"
"46" "FBgn0031717" "FBgn0031717" "Oscillin"
"47" "FBgn0030357" "FBgn0030357" "Sclp"
"48" "FBgn0034791" "FBgn0034791" "EMC8-9"
"49" "FBgn0032904" "FBgn0266369" "Mtp"
"50" "FBgn0020764" "FBgn0020764" "Alas"
"51" "FBgn0027094" "FBgn0027094" "AlaRS"
"52" "FBgn0026158" "FBgn0267975" "vib"
"53" "FBgn0032785" "FBgn0032785" "CG10026"
"54" "FBgn0038661" "FBgn0261113" "Xrp1"
"55" "FBgn0030242" "FBgn0030242" "sofe"
"56" "FBgn0004687" "FBgn0004687" "Mlc-c"
"57" "FBgn0023479" "FBgn0023479" "teq"
"58" "FBgn0032339" "FBgn0032339" "Wdr59"
"59" "FBgn0034501" "FBgn0034501" "CG13868"
"60" "FBgn0032006" "FBgn0032006" "Pvr"
"61" "FBgn0037250" "FBgn0037250" "CG1074"
"62" "FBgn0029095" "FBgn0029095" "aru"
"63" "FBgn0036043" "FBgn0036043" "Ae2"
"64" "FBgn0035987" "FBgn0288470" "Cpsf5"
"65" "FBgn0039122" "FBgn0260634" "eIF4G2"
"66" "FBgn0031362" "FBgn0264494" "CG17646"
"67" "FBgn0020647" "FBgn0020647" "KrT95D"
"68" "FBgn0046763" "FBgn0046763" "peg"
"69" "FBgn0034063" "FBgn0034063" "CG8389"
"70" "FBgn0033980" "FBgn0033980" "Cyp6a20"
"71" "FBgn0003742" "FBgn0003742" "tra2"
"72" "FBgn0031817" "FBgn0031817" "HemK1"
"73" "FBgn0037093" "FBgn0037093" "Cdk12"
"74" "FBgn0032731" "FBgn0032731" "Swip-1"
"75" "FBgn0027079" "FBgn0027079" "ValRS"
"76" "FBgn0033156" "FBgn0260991" "Incenp"
"77" "FBgn0010339" "FBgn0010339" "128up"
"78" "FBgn0011341" "FBgn0087013" "Karyβ3"
"79" "FBgn0021953" "FBgn0267828" "Fatp1"
"80" "FBgn0003660" "FBgn0003660" "Syb"
"81" "FBgn0030993" "FBgn0030993" "Mec2"
"82" "FBgn0032036" "FBgn0032036" "CG13384"
"83" "FBgn0034964" "FBgn0034964" "IntS1"
"84" "FBgn0039776" "FBgn0039776" "PH4αEFB"
