Affy ID,Q value (Age),Old,Young,Fold Change (Young/Old),Fold Change (Old/Young),FlyBase ID,Symbol,Name
 141212_at,0.03333612,223.8375,262.9375,1.2,0.9,FBgn0027360,Tim10,---
 141213_at,0.000934709,14.2375,29.5375,2.1,0.5,FBgn0033728,CG8505,---
 141226_at,0.02560873,95.3875,113.5875,1.2,0.8,FBgn0038293,CG6904,---
 141231_at,0.003200294,212.55,259.65,1.2,0.8,FBgn0028688,Rpn7,---
 141240_at,0.007016236,20,28.875,1.4,0.7,FBgn0037235,CG1103,---
 141257_at,0.02029492,130.025,98.4125,0.8,1.3,FBgn0001142,Gs1,Glutamine synthetase 1
 141260_at,0.02128737,237.3625,199.55,0.8,1.2,FBgn0038738,CG4572,---
 141265_at,0.001473957,63.8625,42.725,0.7,1.5,FBgn0040475,SH3PX1,---
 141266_at,0.01383452,11.9375,27.1625,2.3,0.4,FBgn0035414,CG14965,---
 141268_at,0.01588373,70.3375,55.25,0.8,1.3,FBgn0052486,CG32486,---
 141274_at,0.03036653,33.2625,52.5125,1.6,0.6,FBgn0037920,CG14710,---
 141281_at,0.01326258,48.475,72.9,1.5,0.7,FBgn0028982,Spt6,---
 141283_at,0.01584459,88.2,148.0625,1.7,0.6,FBgn0000392,cup,cup
 141296_at,0.00515319,83.85,59.275,0.7,1.4,FBgn0031950,CG14536,---
 141301_at,0.002096669,37.2125,20.475,0.6,1.8,FBgn0004885,tok,tolkin
 141303_at,0.000246495,183.775,12.7875,0.1,14.4,FBgn0033830,CG10814,---
 141309_at,0.009303211,75.2625,53.7125,0.7,1.4,FBgn0037094,CG7611,---
 141315_at,0.0299306,530.425,338.025,0.6,1.6,FBgn0040732,CG16926,---
 141323_at,0.001551517,65.4,41.325,0.6,1.6,FBgn0033968,CG10200,---
 141326_at,0.006715917,470.7125,342.1,0.7,1.4,FBgn0027932,Akap200,A kinase anchor protein 200
 141339_at,0.005085701,307.0125,579.9,1.9,0.5,FBgn0011823,Pen,Pendulin
 141341_at,0.04003948,6.25,14.825,2.4,0.4,FBgn0033848,CG13330,---
 141348_at,0.01548439,35.875,26.25,0.7,1.4,FBgn0038975,Nrx-1,Neurexin 1
 141349_at,0.02875181,198.425,131.1875,0.7,1.5,FBgn0036945,CG6981,---
 141351_at,0.03066237,50.8625,39.75,0.8,1.3,FBgn0004167,kst,karst
 141353_at,0.000195971,514.4375,95.9375,0.2,5.4,FBgn0038299,CG6687,---
 141363_at,0.02244046,30.375,22.525,0.7,1.3,FBgn0031408,CG10882,---
 141374_at,0.004185406,865.375,87.7375,0.1,9.9,FBgn0012042,AttA,Attacin-A
 141379_at,0.000831255,502.6,273.375,0.5,1.8,FBgn0015010,Ag5r,Antigen 5-related
 141381_at,0.00612693,106.4125,62.65,0.6,1.7,FBgn0050069,CG30069,---
 141387_at,0.01619768,204.3375,302.325,1.5,0.7,FBgn0035473,mge,maggie
 141389_at,0.005731541,185.6625,134.25,0.7,1.4,FBgn0034582,CG10531,---
 141400_at,0.006634504,48.8,75.9625,1.6,0.6,FBgn0037894,Ranbp9,---
 141402_at,0.002012138,72.8125,48.7125,0.7,1.5,FBgn0040723,CG5011,---
 141403_at,0.02729744,11.1875,6.1125,0.5,1.8,FBgn0030748,Traf3,---
 141405_at,0.002140954,128.4,71.0375,0.6,1.8,FBgn0039476,CG6271,---
 141412_at,0.00090342,138.1875,85.0625,0.6,1.6,FBgn0030955,CG6891,---
 141415_at,0.01202159,77.2125,153.3875,2.0,0.5,FBgn0035047,Pof,Painting of fourth
 141416_at,0.03963629,130.8625,101.3375,0.8,1.3,FBgn0036831,CG6839,---
 141417_at,0.001936262,351.9125,286.5,0.8,1.2,FBgn0037971,CG10007,---
 141422_at,0.02854694,60.65,48.65,0.8,1.2,FBgn0037925,Csk,C-terminal Src kinase
 141425_at,0.03627988,144.125,142.8625,1.0,1.0,FBgn0038810,CG5434,---
 141426_at,0.009262183,93.3,166.025,1.8,0.6,FBgn0036996,CG5932,---
 141434_at,0.00303156,276.3875,178.2625,0.6,1.6,FBgn0035165,CG13887,---
 141436_at,0.000547075,90.325,27.325,0.3,3.3,FBgn0038250,CG3505,---
 141443_at,0.03757355,37.1375,29.075,0.8,1.3,FBgn0031717,Oscillin,---
 141444_at,0.002211373,89.5,38.15,0.4,2.3,FBgn0030357,CG2471,---
 141453_at,0.02267172,119.725,140.675,1.2,0.9,FBgn0034791,CG3501,---
 141458_at,0.03479777,179.125,129.9,0.7,1.4,FBgn0032904,CG9342,---
 141461_at,0.03303601,584.4125,478.725,0.8,1.2,FBgn0020764,Alas,Aminolevulinate synthase
 141462_at,0.01135804,78.425,49.45,0.6,1.6,FBgn0027094,Aats-ala,Alanyl-tRNA synthetase
 141463_at,0.02124226,67.9625,52.1375,0.8,1.3,FBgn0026158,vib,vibrator
 141465_at,0.04591733,29.4375,24.25,0.8,1.2,FBgn0032785,CG10026,---
 141469_at,0.000820098,87.4375,38.3,0.4,2.3,---,---,---
 141483_at,0.000868152,309.1625,160.8625,0.5,1.9,FBgn0038661,CG17836,---
