"submitted_item" "validated_id" "current_symbol"
"1" "FBgn0010388" "FBgn0010388" "Dro"
"2" "FBgn0033593" "FBgn0033593" "Listericin"
"3" "FBgn0032638" "FBgn0032638" "SPH93"
"4" "FBgn0004240" "FBgn0004240" "DptA"
"5" "FBgn0027584" "FBgn0027584" "CG4757"
"6" "FBgn0036110" "FBgn0036110" "Cpr67Fb"
"7" "FBgn0001229" "FBgn0001229" "Hsp67Bc"
"8" "FBgn0000047" "FBgn0000047" "Act88F"
"9" "FBgn0039299" "FBgn0039299" "CG11854"
"10" "FBgn0032639" "FBgn0032639" "CG18563"
"11" "FBgn0033634" "FBgn0040503" "CG7763"
"12" "FBgn0038160" "FBgn0038160" "CG9759"
"13" "FBgn0034468" "FBgn0034468" "Obp56a"
"14" "FBgn0034647" "FBgn0034647" "pirk"
"15" "FBgn0032281" "FBgn0032281" "CG17107"
"16" "FBgn0001226" "FBgn0001226" "Hsp27"
"17" "FBgn0038299" "FBgn0038299" "Spn88Eb"
"18" "FBgn0034761" "FBgn0034761" "CG4250"
"19" "FBgn0034512" "FBgn0034512" "Bbd"
"20" "FBgn0035806" "FBgn0035806" "PGRP-SD"
"21" "FBgn0031277" "FBgn0031277" "CG13947"
"22" "FBgn0032810" "FBgn0032810" "CG13077"
"23" "FBgn0035717" "FBgn0041194" "Prat2"
"24" "FBgn0000277" "FBgn0000277" "CecA2"
"25" "FBgn0036627" "FBgn0036627" "Gagr"
"26" "FBgn0038914" "FBgn0038914" "fit"
"27" "FBgn0033596" "FBgn0033596" "CG7738"
"28" "FBgn0033129" "FBgn0033129" "Tsp42Eh"
"29" "FBgn0000276" "FBgn0000276" "CecA1"
"30" "FBgn0032773" "FBgn0032773" "fon"
"31" "FBgn0040626" "FBgn0024288" "Sox100B"
"32" "FBgn0030079" "FBgn0265413" "CG44325"
"33" "FBgn0033630" "FBgn0033631" "Sod3"
"34" "FBgn0030309" "FBgn0030309" "CG1572"
"35" "FBgn0035929" "FBgn0035929" "CG13311"
"36" "FBgn0039684" "FBgn0039684" "Obp99d"
"37" "FBgn0030244" "FBgn0030244" "CG2157"
"38" "FBgn0032002" "FBgn0032002" "CG8353"
"39" "FBgn0002562" "FBgn0002562" "Lsp1α"
"40" "FBgn0036106" "FBgn0036106" "CG6409"
"41" "FBgn0035409" "FBgn0035409" "CG14963"
"42" "FBgn0038673" "FBgn0038673" "CG14286"
"43" "FBgn0001208" "FBgn0001208" "Hn"
"44" "FBgn0037063" "FBgn0037063" "CG9391"
"45" "FBgn0031931" "FBgn0041182" "Tep2"
"46" "FBgn0032443" "FBgn0004394" "pdm2"
"47" "FBgn0032897" "FBgn0032897" "bero"
"48" "FBgn0031775" "FBgn0031775" "CG9150"
"49" "FBgn0032899" "FBgn0032899" "CG9338"
"50" "FBgn0025628" "FBgn0289578" "CG4199"
"51" "FBgn0032712" "FBgn0027074" "Ugt36F1"
"52" "FBgn0002856" "FBgn0002856" "Acp26Ab"
"53" "FBgn0034331" "FBgn0034331" "BomBc2"
"54" "FBgn0033130" "FBgn0033130" "Tsp42Ei"
"55" "FBgn0039759" "FBgn0039759" "CG9733"
"56" "FBgn0040837" "FBgn0040837" "CG8620"
"57" "FBgn0039008" "FBgn0039008" "CG6972"
"58" "FBgn0003514" "FBgn0003514" "sqh"
"59" "FBgn0033788" "FBgn0033788" "CG13323"
"60" "FBgn0030782" "FBgn0030782" "CG18358"
"61" "FBgn0015229" "FBgn0015229" "glec"
"62" "FBgn0011703" "FBgn0011703" "RnrL"
"63" "FBgn0034117" "FBgn0034117" "CG7997"
"64" "FBgn0032945" "FBgn0032945" "CG8665"
"65" "FBgn0014018" "FBgn0014018" "Rel"
"66" "FBgn0032322" "FBgn0032322" "CG16743"
"67" "FBgn0026084" "FBgn0026084" "cib"
"68" "FBgn0004552" "FBgn0004552" "Akh"
"69" "FBgn0031560" "FBgn0031560" "CG16713"
"70" "FBgn0037850" "FBgn0037850" "CG14695"
"71" "FBgn0040774" "FBgn0040774" "CG12922"
"72" "FBgn0037906" "FBgn0037906" "PGRP-LB"
"73" "FBgn0034557" "FBgn0050295" "Ipk1"
"74" "FBgn0039203" "FBgn0039203" "Jhbp12"
"75" "FBgn0040551" "FBgn0040551" "CG11686"
"76" "FBgn0032900" "FBgn0032900" "CG14401"
"77" "FBgn0033222" "FBgn0033222" "CG12824"
"78" "FBgn0031313" "FBgn0031313" "CG5080"
"79" "FBgn0032536" "FBgn0032536" "Ance-3"
"80" "FBgn0033126" "FBgn0029506" "Tsp42Ee"
"81" "FBgn0038610" "FBgn0038610" "CG7675"
"82" "FBgn0037977" "FBgn0260746" "Ect3"
"83" "FBgn0033127" "FBgn0033127" "Tsp42Ef"
"84" "FBgn0039238" "FBgn0039238" "CG7016"
"85" "FBgn0035715" "FBgn0035715" "Ist1"
"86" "FBgn0035672" "FBgn0259164" "CG42269"
"87" "FBgn0035413" "FBgn0035413" "CG14958"
"88" "FBgn0032774" "FBgn0032774" "CG17549"
