,baseMean,log2FoldChange,lfcSE,pvalue,padj
FBgn0000003,0.291598748,0.001502919,0.074772039,0.747519989,NA
FBgn0000008,758.7878388,0.001525842,0.060760919,0.97301471,0.991723542
FBgn0000014,182.2751614,0.134745355,0.18605568,0.02273331,0.204480043
FBgn0000015,62.77976039,0.421282141,0.185708358,0.000917993,0.02489139
FBgn0000017,3334.379755,-0.079636282,0.066639981,0.07825529,0.368005436
FBgn0000018,318.4726339,0.08959969,0.1039058,0.063641554,0.34073349
FBgn0000022,0.046620495,-8.96095E-05,0.074767546,1,NA
FBgn0000024,433.989699,0.026645909,0.074625141,0.358396587,0.696962245
FBgn0000028,12.64940861,0.016905616,0.075790714,0.287487199,0.638357185
FBgn0000032,2226.81809,-0.013750691,0.059906757,0.725601854,0.896104737
FBgn0000036,42.98915097,0.01680082,0.074711081,0.406630745,0.731799981
FBgn0000037,83.09898,0.018647449,0.074027557,0.411259631,0.733708127
FBgn0000038,239.8752758,-0.025136844,0.07131242,0.418881505,0.738875406
FBgn0000039,25.47226951,0.002789829,0.071671359,0.893180613,0.967147447
FBgn0000042,51197.64343,-0.026327882,0.045272498,0.417823175,0.737807906
FBgn0000043,7891.106146,-0.050290741,0.059302512,0.240976634,0.595124263
FBgn0000044,8181.562142,0.542375046,0.108526219,2.73143E-08,1.0773E-05
FBgn0000045,786.7570692,0.027465776,0.074976604,0.308847868,0.658970336
FBgn0000046,872.9552977,0.180174421,0.111831596,0.008153165,0.113136386
FBgn0000047,586.417464,0.67887958,0.238293848,0.00014303,0.006928148
FBgn0000052,3254.539117,0.034334931,0.059633939,0.377467966,0.709918111
FBgn0000053,2657.999144,0.106208748,0.174504073,0.029663253,0.237685465
FBgn0000055,140.0881028,0.007473383,0.068482538,0.792988341,0.926646861
FBgn0000057,970.895627,0.006972343,0.044653863,0.832846414,0.942416184
FBgn0000061,3.405723035,0.00376657,0.074488514,0.632569463,NA
FBgn0000063,918.2990219,-0.004098391,0.065567722,0.896143391,0.967300071
FBgn0000064,13647.46323,0.041423796,0.077113211,0.229235577,0.582886739
FBgn0000071,4.454991907,0.017650115,0.077483614,0.030325729,0.240103112
FBgn0000075,46.37445965,-0.039509752,0.090253206,0.00264451,0.052150726
FBgn0000077,402.9860579,0.007326607,0.054386984,0.847291883,0.94926999
FBgn0000078,6830.202302,0.00979644,0.073856826,0.546078496,0.81217736
FBgn0000079,8058.172665,0.010171734,0.074370144,0.472438742,0.773405098
FBgn0000083,4030.317833,0.107592942,0.120293955,0.039626977,0.271549342
FBgn0000084,953.5273565,-0.007831786,0.072614436,0.68628798,0.87920329
FBgn0000092,6.861631885,0.021418617,0.078725503,0.033549562,0.253562302
FBgn0000094,0.081500297,0.000633167,0.074767057,0.94806198,NA
FBgn0000097,2180.309332,0.03175132,0.050879495,0.415750309,0.736502729
FBgn0000100,18264.1918,-0.039468855,0.081953492,0.179169345,0.527501896
FBgn0000108,651.7453549,0.035141748,0.077513455,0.257246934,0.611984501
FBgn0000109,368.9636504,0.015088217,0.062123072,0.664598236,0.869260534
FBgn0000114,14157.84861,-0.026610267,0.056008471,0.48860436,0.781980477
FBgn0000115,766.2324883,0.006141674,0.047871278,0.886932755,0.963576805
FBgn0000116,11620.05568,-0.056056135,0.054017667,0.164455591,0.510429996
FBgn0000117,9305.249035,-0.043380998,0.050578379,0.252723612,0.606548061
FBgn0000119,733.178374,0.253493212,0.11576924,0.001612886,0.037501362
FBgn0000120,4021.339988,-0.042690774,0.065546628,0.246935661,0.599411411
FBgn0000121,9014.67955,0.018265573,0.067371261,0.492913389,0.784153225
FBgn0000137,1.916750904,0.002484974,0.074665112,0.617188043,NA
FBgn0000139,955.1303651,-0.025796405,0.053052848,0.498477358,0.787728957
FBgn0000140,5860.560858,-0.03813811,0.071760117,0.32423997,0.674117814
FBgn0000146,1963.12304,-0.07649412,0.067457637,0.089272552,0.38806554
FBgn0000147,1217.677643,-0.032024046,0.071002558,0.338925474,0.683203221
FBgn0000150,8044.753804,-0.046393176,0.090189646,0.085925068,0.382748723
FBgn0000152,621.174147,0.004030722,0.055547454,0.94515524,0.982193884
FBgn0000153,330.6353682,0.010345474,0.06768398,0.731583965,0.897518701
FBgn0000157,54.67226368,0.022880157,0.073478362,0.399863134,0.725902236
FBgn0000158,1293.142103,-0.062647311,0.094711077,0.104253311,0.414715544
FBgn0000163,1983.638905,0.104670648,0.074868192,0.034914204,0.257776905
FBgn0000166,1878.837642,-0.044400815,0.070003005,0.274304371,0.62710761
FBgn0000173,3326.734413,-0.054137039,0.052548194,0.170700276,0.518635754
FBgn0000179,25.95643599,0.015795587,0.075190358,0.346099789,0.687669653
FBgn0000180,39.62697935,-0.014757192,0.072675153,0.522675713,0.80005371
FBgn0000181,11619.57599,-0.041338134,0.074550434,0.237305083,0.590974764
FBgn0000182,1.556476585,0.00672031,0.075032053,0.207587211,NA
FBgn0000183,4807.814514,-0.092022106,0.061706712,0.041254285,0.278969776
FBgn0000206,120.6229859,0.00497357,0.069447272,0.841070982,0.945730348
FBgn0000212,4226.844821,-0.0108616,0.059944128,0.780751823,0.920835769
FBgn0000221,198.0682248,-0.040762418,0.080174218,0.207228293,0.560747442
FBgn0000228,2528.400256,0.064811467,0.057220663,0.107919652,0.420261765
FBgn0000229,676.7009744,0.033566113,0.061511908,0.388956676,0.718049286
FBgn0000233,8.996455486,-0.001682328,0.073761584,0.879243933,0.960420548
FBgn0000239,5066.570244,0.008062135,0.0577708,0.821774873,0.937827944
FBgn0000241,85.4426499,0.050647324,0.099579441,0.012219799,0.145070946
FBgn0000244,1150.933869,0.085484961,0.09420448,0.074242117,0.359551746
FBgn0000246,1717.839064,-0.00613524,0.06258669,0.845091201,0.948192515
FBgn0000247,2290.999941,0.014362111,0.051329337,0.807139629,0.932816244
FBgn0000250,6702.71036,0.038955735,0.061123907,0.332840957,0.679055831
FBgn0000251,2335.893955,-0.063395572,0.091561749,0.11419991,0.433180404
FBgn0000253,15760.11356,-0.011711841,0.045595297,0.740984538,0.901658666
FBgn0000256,1163.38692,-0.004266271,0.049847981,0.843602046,0.947417712
FBgn0000257,730.8215707,-0.057273047,0.076784668,0.169576439,0.516982392
FBgn0000259,3764.330467,-0.007401721,0.051990256,0.843770268,0.947417712
FBgn0000261,7197.920575,0.110018265,0.111171736,0.040150035,0.274090391
FBgn0000273,3711.297342,-0.018627138,0.045955012,0.607424589,0.841152724
FBgn0000274,19.2613109,-0.015668645,0.074845735,0.377298126,0.709918111
FBgn0000276,282.2338656,2.174482208,2.351718322,0.001785014,0.040018135
FBgn0000277,198.5134017,0.009515987,0.075618069,0.007266068,0.103173983
FBgn0000278,26.88911409,4.295551323,1.930948164,0.000336046,0.012826375
FBgn0000279,58.15023516,0.014570859,0.076788705,0.002879926,0.05561492
FBgn0000280,0.06887511,0.000598645,0.074766545,0.94806198,NA
FBgn0000281,0.468616544,-0.0034954,0.074861657,0.300121367,NA
FBgn0000283,6793.310837,0.009731305,0.059951226,0.813778766,0.934811487
FBgn0000286,1506.683175,0.043873162,0.067405365,0.277733131,0.629808371
FBgn0000287,55.89554385,0.08551284,0.152259382,0.015281345,0.163220706
FBgn0000289,5001.846679,-0.058278551,0.046547281,0.120074917,0.442145095
FBgn0000299,5715.183311,-0.039186053,0.084048721,0.193624653,0.545659261
FBgn0000303,60.42308825,0.026833065,0.076098231,0.301879814,0.65260214
FBgn0000307,5381.396738,-0.023335652,0.061868126,0.410063759,0.733388213
FBgn0000308,6512.193336,0.020474158,0.045902223,0.582519037,0.829421745
FBgn0000316,2030.629341,-0.031645974,0.06269596,0.410861374,0.733708127
FBgn0000317,1932.164457,0.068229077,0.076722939,0.126629132,0.450391993
FBgn0000318,1252.145666,-0.011581342,0.043769039,0.74385304,0.902987654
FBgn0000319,13014.20354,-0.030598293,0.060256759,0.44416127,0.753757763
