"submitted_item" "validated_id" "current_symbol"
"1" "FBgn0000015" "FBgn0000015" "Abd-B"
"2" "FBgn0000044" "FBgn0000044" "Act57B"
"3" "FBgn0000047" "FBgn0000047" "Act88F"
"4" "FBgn0000119" "FBgn0000119" "arr"
"5" "FBgn0000276" "FBgn0000276" "CecA1"
"6" "FBgn0000278" "FBgn0000278" "CecB"
"7" "FBgn0000394" "FBgn0000394" "cv"
"8" "FBgn0000492" "FBgn0000492" "Dr"
"9" "FBgn0000543" "FBgn0000543" "ecd"
"10" "FBgn0000557" "FBgn0000557" "eEF1α2"
"11" "FBgn0000715" "FBgn0000715" "FMRFa"
"12" "FBgn0001112" "FBgn0001112" "Gld"
"13" "FBgn0001202" "FBgn0001202" "hook"
"14" "FBgn0001217" "FBgn0001217" "Hsc70-2"
"15" "FBgn0001230" "FBgn0001230" "Hsp68"
"16" "FBgn0002306" "FBgn0002306" "sas"
"17" "FBgn0002569" "FBgn0002569" "Mal-A2"
"18" "FBgn0002570" "FBgn0002570" "Mal-A1"
"19" "FBgn0002719" "FBgn0002719" "Men"
"20" "FBgn0002773" "FBgn0002773" "Mlc2"
"21" "FBgn0002789" "FBgn0002789" "Mp20"
"22" "FBgn0002868" "FBgn0002868" "MtnA"
"23" "FBgn0002930" "FBgn0002930" "nec"
"24" "FBgn0003231" "FBgn0003231" "ref(2)P"
"25" "FBgn0003249" "FBgn0003249" "Rh3"
"26" "FBgn0003250" "FBgn0003250" "Rh4"
"27" "FBgn0003450" "FBgn0003450" "snk"
"28" "FBgn0003861" "FBgn0003861" "trp"
"29" "FBgn0004117" "FBgn0004117" "Tm2"
"30" "FBgn0004240" "FBgn0004240" "DptA"
"31" "FBgn0004360" "FBgn0004360" "Wnt2"
"32" "FBgn0004394" "FBgn0004394" "pdm2"
"33" "FBgn0004512" "FBgn0004512" "Mdr49"
"34" "FBgn0004629" "FBgn0004629" "Cys"
"35" "FBgn0005278" "FBgn0005278" "Sam-S"
"36" "FBgn0005626" "FBgn0005626" "ple"
"37" "FBgn0005660" "FBgn0005660" "Ets21C"
"38" "FBgn0010222" "FBgn0010222" "Nmdmc"
"39" "FBgn0010388" "FBgn0010388" "Dro"
"40" "FBgn0010424" "FBgn0010424" "TpnC73F"
"41" "FBgn0010762" "FBgn0010762" "simj"
"42" "FBgn0010894" "FBgn0010894" "sinu"
"43" "FBgn0011296" "FBgn0011296" "l(2)efl"
"44" "FBgn0011555" "FBgn0011555" "θTry"
"45" "FBgn0011584" "FBgn0011584" "Trp1"
"46" "FBgn0011695" "FBgn0011695" "EbpIII"
"47" "FBgn0011754" "FBgn0011754" "PhKγ"
"48" "FBgn0011834" "FBgn0011834" "Ser6"
"49" "FBgn0012034" "FBgn0012034" "AcCoAS"
"50" "FBgn0012042" "FBgn0012042" "AttA"
"51" "FBgn0013278" "FBgn0013278" "Hsp70Bb"
"52" "FBgn0013305" "FBgn0013305" "Nmda1"
"53" "FBgn0013767" "FBgn0013767" "Crz"
"54" "FBgn0013771" "FBgn0013771" "Cyp6a9"
"55" "FBgn0013953" "FBgn0013953" "Esp"
"56" "FBgn0014018" "FBgn0014018" "Rel"
"57" "FBgn0014396" "FBgn0014396" "tim"
"58" "FBgn0014427" "FBgn0014427" "CG11899"
"59" "FBgn0014466" "FBgn0014466" "Cp7Fc"
"60" "FBgn0015037" "FBgn0015037" "Cyp4p1"
"61" "FBgn0015038" "FBgn0015038" "Cyp9b1"
"62" "FBgn0015075" "FBgn0015075" "Ddx1"
"63" "FBgn0015527" "FBgn0015527" "peng"
"64" "FBgn0016076" "FBgn0016076" "vri"
"65" "FBgn0016675" "FBgn0016675" "Lectin-galC1"
"66" "FBgn0017558" "FBgn0017558" "Pdk"
"67" "FBgn0020414" "FBgn0020414" "Idgf3"
