	KM.days	KM.estimates	KM.se	sampling.days
1	3	0.999616711383672	0.000270974034192807	1
2	4	0.999036213874158	0.000430815769590735	0
3	5	0.998455716364643	0.000545570451263439	0
4	6	0.997681719685291	0.000668459006719898	1
5	7	0.995735403415909	0.000907287949954072	0
6	8	0.994758425979276	0.00100611459067633	0
7	9	0.994172239517297	0.00106091687177293	0
8	10	0.993586053055317	0.00111296377390985	1
9	11	0.992994045476535	0.00116360105942989	0
10	12	0.990823351021002	0.00133246905799774	0
11	13	0.973063123657551	0.00227030900146214	0
12	14	0.961617643801104	0.00269551481852031	1
13	15	0.953873871736631	0.00294524332950074	0
14	16	0.948314240510856	0.00310984111767824	0
15	17	0.938386327607685	0.00337939486016123	1
16	18	0.903216822995472	0.00416470027453258	0
17	19	0.860453902614713	0.00488690422162117	0
18	20	0.83847296223208	0.00519205469572126	0
19	21	0.812912216623949	0.00550695636656413	0
20	22	0.766621102530483	0.00597974068971533	0
21	23	0.757564145425239	0.00605959789374027	1
22	24	0.743565236471211	0.00617753027150386	0
23	25	0.717393363209332	0.00637539456941074	0
24	26	0.707249226286123	0.00644463112136332	0
25	27	0.699539682224485	0.00649459786881738	1
26	28	0.681938625269743	0.00660269610113548	0
27	29	0.67866401002235	0.0066215475307196	0
28	30	0.668337412182691	0.00667990040191581	0
29	31	0.647271152589788	0.00678720631740126	1
30	32	0.639555613721933	0.00682379778854403	0
31	33	0.62078808674607	0.0069043614839012	0
32	34	0.609736098638061	0.00694633544024523	0
33	35	0.5845042012594	0.00702741556791609	0
34	36	0.566987842748594	0.00707193099569755	1
35	37	0.553282298018709	0.00710236619993891	0
36	38	0.515750190912257	0.00715604543992132	1
37	39	0.488212204725303	0.00717294898570034	0
38	40	0.454910453987591	0.00716209114460757	0
39	41	0.428012886084055	0.00712820836224923	0
40	42	0.391935989451533	0.00704690958591769	1
41	43	0.340719547862075	0.00686956932102571	0
42	44	0.305345480154102	0.00669182902301122	0
43	45	0.252791465051326	0.00635140776232182	0
44	46	0.229951534437039	0.00616337554049568	0
45	47	0.200015703049382	0.00587489569452891	0
46	48	0.169414630964222	0.00552348229587256	1
47	49	0.128099618780849	0.00496521386814938	0
48	50	0.107557517751127	0.00462184867026414	1
49	51	0.101636920443726	0.00452268192585607	0
50	52	0.0890556511654976	0.00429226771149186	0
51	53	0.0779545312141198	0.00406372827974353	0
52	54	0.0596993561829652	0.00362407838133278	0
53	55	0.0525453011031883	0.00342463176803213	1
54	56	0.0333074039779773	0.00286597950247466	0
55	57	0.027851880912619	0.0026558134254843	0
56	58	0.0246934201905694	0.00251959858436275	0
57	59	0.019237897125211	0.00225244907694064	1
