Day	Dead	Censored
2	0	0
3	2	50
4	3	0
5	3	0
6	4	30
7	10	20
8	5	0
9	3	0
10	3	50
11	3	0
12	11	0
13	90	0
14	58	30
15	39	0
16	28	0
17	50	30
18	176	0
19	214	0
20	110	30
21	127	0
22	230	0
23	45	30
24	69	0
25	129	0
26	50	0
27	38	30
28	86	0
29	16	30
30	50	0
31	102	30
32	37	0
33	90	0
34	53	0
35	121	0
36	84	30
37	65	0
38	178	30
39	129	0
40	156	0
41	126	0
42	169	30
43	236	0
44	163	30
45	237	0
46	103	0
47	135	0
48	138	30
49	179	0
50	89	30
51	24	0
52	51	0
53	45	0
54	74	0
55	29	30
56	67	0
57	19	0
58	11	0
59	19	67
