Affymetrix Gene ID,index,Y,O2,Old,O2/Y,Old/Y,Score(d),q-value (%),FlyBase,Gene Symbol,LocusLink,EC Number,Biological Process (GO),Cellular Component (GO),Molecular Function (GO),Pathways KEGG,InterPro,Pfam,BLOCKS,SCOP
143609_at,2410,2,3,44,1.3,21.9,2.189207907,0.03365406,FBgn0010388,Dro,36635,,6964 // anti-Gram-negative bacterial polypeptide induction // non-traceable author statement /// 6961 // antibacterial humoral response (sensu Invertebrata) // inferred from expression pattern,,8225 // Gram-negative antibacterial peptide // inferred from expression pattern /// 8225 // Gram-negative antibacterial peptide // non-traceable author statement /// 8224 // Gram-positive antibacterial peptide // inferred from direct assay /// 8225 // Gram-negative antibacterial peptide // inferred from direct assay,,,,,
146991_at,5792,1,1,9,1.0,7.9,7.026078084,0.012093869,FBgn0033593,CG9080,36183,,,,,,,,IPB002989 // Mycobacterial pentapeptide repeats;0.0039,
146405_at,5206,17,20,136,1.1,7.8,2.788648958,0.012093869,FBgn0032638,CG6639,35049,EC:3.4.21       ,,,4295 // trypsin // extended:inferred from electronic annotation; rypsin; 3.4e-47 /// 4252 // serine-type endopeptidase // inferred from sequence similarity,,"IPR001314 // Chymotrypsin serine protease, family S1 /// IPR001254 // Serine protease, trypsin family",trypsin // Trypsin;3.4e-47,IPB000177 // Apple domain;8.6e-09,"d1eq9a_ // b.47.1.2 // (alpha,gamma)-chymotrypsin(ogen) ;6.82e-60"
143443_at,2244,1111,1413,7760,1.3,7.0,1.882864796,0.113709548,FBgn0004240,Dpt,37183,,6961 // antibacterial humoral response (sensu Invertebrata) // non-traceable author statement /// 6961 // antibacterial humoral response (sensu Invertebrata) // inferred from expression pattern,,8225 // Gram-negative antibacterial peptide // inferred from expression pattern /// 3797 // antibacterial peptide // inferred from sequence similarity,,"IPR005521 // Attacin, C-terminal region","Attacin_C // Attacin, C-terminal region;1.1e-41",,
152026_at,10827,412,438,2404,1.1,5.8,8.160032626,0.012093869,FBgn0027584,BcDNA:GH05741,41330,EC:3.1.1.1      ,,,16789 // carboxylic ester hydrolase // extended:Unknown; COesterase; 9e-178 /// 4091 // carboxylesterase // inferred from sequence similarity,,"IPR002018 // Carboxylesterase, type B /// IPR000734 // Lipase /// IPR000379 // Esterase/lipase/thioesterase, active site",COesterase // Carboxylesterase;9e-178,IPB002018 // Carboxylesterases type-B;3.3e-25,d1f8ua_ // c.69.1.1 // Acetylcholinesterase ;3.09e-134
148539_at,7340,365,515,1971,1.4,5.4,9.227599392,0.012093869,FBgn0036110,CG18348,39225,,,,,,IPR000618 // Insect cuticle protein,Chitin_bind_4 // Insect cuticle protein;6.3e-27,IPB000618 // Insect cuticle protein;3.8e-15,
143196_at,1997,269,316,1080,1.2,4.0,5.746741028,0.012093869,FBgn0001229,Hsp67Bc,39071,,9408 // response to heat // inferred from sequence similarity /// 9408 // response to heat // non-traceable author statement,,3773 // heat shock protein // non-traceable author statement /// 3773 // heat shock protein // inferred from sequence similarity,,IPR001436 // Alpha crystallin /// IPR002068 // Heat shock protein Hsp20,HSP20 // Hsp20/alpha crystallin family;2.2e-37,PR00299 // Alpha crystallin signature;1.1e-07,
143061_at,1862,337,269,1064,-1.2,3.2,4.623060193,0.012093869,FBgn0000047,Act88F,41885,,7010 // cytoskeleton organization and biogenesis // inferred from sequence similarity,5884 // actin filament // non-traceable author statement /// 5884 // actin filament // inferred from sequence similarity,5200 // structural constituent of cytoskeleton // inferred from sequence similarity,,IPR004000 // Actin/actin-like /// IPR004001 // Actin,actin // Actin;2e-276,IPB004000 // Actin and actin-like;2.9e-253,d2btfa1 // c.55.1.1 // Actin ;8.79e-73
150566_at,9367,12,17,39,1.4,3.1,4.126144633,0.012093869,FBgn0039299,CG11854,43037,,,,,,IPR000169 // Eukaryotic thiol (cysteine) protease  /// IPR004272 // Odorant binding protein,DUF233 // Odorant binding protein;3.2e-57,,
146406_at,5207,56,60,173,1.1,3.1,2.541701202,0.012093869,FBgn0032639,CG18563,35050,,,,4295 // trypsin // extended:inferred from electronic annotation; rypsin; 8.5e-29,,"IPR001254 // Serine protease, trypsin family",trypsin // Trypsin;8.5e-29,IPB000001 // Kringle;0.0037,
147022_at,5823,1,1,4,-1.0,3.1,3.585483755,0.012093869,FBgn0033634,CG7763,,,,,,,,,,
149849_at,8650,745,660,2225,-1.1,3.0,10.1743076,0.012093869,FBgn0038160,CG9759,41661,,,,,,,,IPB001196 // Ribosomal protein L15;0.0081,
147514_at,6315,261,178,723,-1.5,2.8,6.958099006,0.012093869,FBgn0034468,Obp56a,37264,,,,5549 // odorant binding // extended:inferred from electronic annotation; PBP_GOBP; 3.4e-05,,"IPR006170 // Pheromone/general odorant binding protein, PBP/GOBP",PBP_GOBP // PBP/GOBP family;3.4e-05,,d1c3za_ // a.39.2.1 // Thp12-carrier protein ;2.81e-19
147631_at,6432,1,1,2,1.3,2.7,11.35763361,0.012093869,FBgn0034647,CG15678,37468,,,,,,,,,
146180_at,4981,417,461,1098,1.1,2.6,8.527678099,0.012093869,FBgn0032281,CG17107,34467,,,,,,IPR002952 // Eggshell protein,,IPB003692 // Hydantoinase B/oxoprolinase;0.0025,
