	Gene	FBgn	Position	Sample1	Sample2	FPKM1	FPKM2	FoldChange.Log2	TestStat	Pval	Qval
1	26-29-p	FBgn0250848	3L:13987334-13989678	young	old	93.0143	151.604	0.70478	1.29376	0.0012	0.00919686
2	5-HT1A	FBgn0004168	2R:14954663-15009463	young	old	7.74171	4.61009	-0.747858	-1.29264	0.00245	0.0164411
3	5-HT2	FBgn0087012	3R:438596-459026	young	old	23.1447	11.4131	-1.01998	-1.91965	5e-05	0.000618758
4	A3-3	FBgn0028550	X:1136772-1168682	young	old	6.42235	9.63949	0.585856	1.11432	0.00585	0.0329979
5	AP-2	FBgn0261953	3L:21591957-21606453	young	old	7.30029	3.81771	-0.935247	-1.31486	0.0029	0.0188645
6	AP-2sigma	FBgn0043012	3R:17094930-17095799	young	old	171.413	91.8292	-0.900455	-1.70229	5e-05	0.000618758
7	AP-50	FBgn0263351	3R:18288152-18290325	young	old	78.9875	36.3895	-1.1181	-2.13341	5e-05	0.000618758
8	AQP	FBgn0033807	2R:9099836-9102005	young	old	18.7388	5.1221	-1.87122	-2.182	5e-05	0.000618758
9	ATPCL	FBgn0020236	2R:11879914-11895160	young	old	80.8643	157.427	0.961112	1.3525	0.0015	0.0111039
10	ATPsyn-Cf6	FBgn0016119	3R:19180972-19181782	young	old	1593.02	819.596	-0.958778	-1.63984	5e-05	0.000618758
11	ATPsyn-b	FBgn0019644	3L:9723076-9724324	young	old	830.073	366.409	-1.17978	-1.87312	5e-05	0.000618758
12	ATPsyn-beta	FBgn0010217	4:1052439-1055175	young	old	2834.4	1333.67	-1.08764	-1.30454	0.00115	0.00886935
13	ATPsyn-d	FBgn0016120	3R:14920719-14921792	young	old	1290.95	638.434	-1.01583	-1.68721	2e-04	0.00208188
14	ATPsyn-gamma	FBgn0020235	3R:25573425-25574858	young	old	821.526	341.528	-1.2663	-2.09481	5e-05	0.000618758
15	Aac11	FBgn0027885	2L:17475490-17477886	young	old	84.0283	56.1878	-0.580617	-1.10293	0.0069	0.0373664
16	Aats-asp	FBgn0002069	2R:8767823-8770675	young	old	49.4771	80.6616	0.70512	1.33543	0.00115	0.00886935
17	Aats-his	FBgn0027087	X:18409431-18414480	young	old	13.5927	24.6801	0.860513	1.4096	0.0012	0.00919686
18	Aats-trp	FBgn0010803	3R:5089538-5092670	young	old	17.5271	27.133	0.630458	1.12227	0.0056	0.0317344
19	Aats-tyr	FBgn0027080	3L:16410446-16412395	young	old	66.1254	42.3147	-0.644046	-1.23704	0.0025	0.0167192
20	Ac3	FBgn0023416	2L:21632598-21647967	young	old	19.855	11.4651	-0.792253	-1.51529	0.00015	0.00164377
21	AcCoAS	FBgn0012034	3L:21264305-21273343	young	old	428.813	831.531	0.955421	1.20106	0.0045	0.0268078
22	Acon	FBgn0010100	2L:21168355-21173017	young	old	431.685	198.286	-1.1224	-1.67014	5e-05	0.000618758
23	Acox57D-p	FBgn0034628	2R:17273858-17276788	young	old	12.0869	20.3075	0.74857	1.22212	0.0019	0.0134529
24	Acp1	FBgn0014454	2L:7740551-7741542	young	old	265.576	0.365533	-9.50491	-7.02758	5e-05	0.000618758
25	Acp65Aa	FBgn0020765	3L:6145149-6145845	young	old	22.7273	2.42486	-3.22845	-2.03509	0.00035	0.00330503
26	Act79B	FBgn0000045	3L:21978330-21980290	young	old	65.2792	10.3633	-2.65514	-3.95461	5e-05	0.000618758
27	Act87E	FBgn0000046	3R:9251706-9253811	young	old	147.273	51.7495	-1.50888	-2.72603	5e-05	0.000618758
28	Act88F	FBgn0000047	3R:11265709-11267895	young	old	8.89454	1.63399	-2.44452	-2.13691	5e-05	0.000618758
29	Actn	FBgn0000667	X:1919148-1936344	young	old	64.1273	24.9197	-1.36365	-2.04228	5e-05	0.000618758
30	Adgf-A	FBgn0036752	3L:17744817-17757253	young	old	21.3629	13.6117	-0.650264	-1.08379	0.0084	0.0434876
31	Adgf-C	FBgn0038173	3R:9532478-9534854	young	old	23.0579	6.69562	-1.78397	-2.75014	5e-05	0.000618758
32	Adk1	FBgn0022709	3L:12193495-12197182	young	old	128.09	77.945	-0.716634	-1.34629	0.00125	0.00952028
33	Ahcy13	FBgn0014455	X:15344294-15346683	young	old	42.9235	170.389	1.989	3.39821	5e-05	0.000618758
34	Akt1	FBgn0010379	3R:11924937-11930239	young	old	8.68331	15.0347	0.791978	1.47893	4e-04	0.00369149
35	Alk	FBgn0040505	2R:12513589-12525279	young	old	7.62972	5.20072	-0.55292	-1.0594	0.0074	0.0395693
36	Alr	FBgn0031068	X:19642951-19644204	young	old	14.8841	28.11	0.917313	1.43396	0.00055	0.00479482
37	Amy-d	FBgn0000078	2R:13012266-13013887	young	old	0.870321	23.7795	4.77203	4.28956	5e-05	0.000618758
38	Amy-p	FBgn0000079	2R:13006210-13007808	young	old	0.616807	43.6034	6.14348	3.9461	5e-05	0.000618758
39	Ance-5	FBgn0035076	2R:20776150-20778545	young	old	29.0273	76.2809	1.39391	2.58588	5e-05	0.000618758
40	Anxb11	FBgn0030749	X:16309101-16316249	young	old	48.588	100.822	1.05314	1.95255	5e-05	0.000618758
41	Aplip1	FBgn0040281	3L:1196320-1199339	young	old	63.815	33.3653	-0.935547	-1.74671	5e-05	0.000618758
42	Aprt	FBgn0000109	3L:1883891-1884885	young	old	31.923	50.5242	0.662376	1.12032	0.00515	0.0298248
43	Arc1	FBgn0033926	2R:10245427-10247799	young	old	30.3187	581.901	4.2625	5.74097	5e-05	0.000618758
44	Arc2	FBgn0033928	2R:10248808-10250330	young	old	8.48344	63.8933	2.91294	4.00373	5e-05	0.000618758
45	Arc42	FBgn0038742	3R:15703469-15705034	young	old	32.4259	49.8923	0.621672	1.13671	0.00485	0.0284246
46	Argk	FBgn0000116	3L:9041961-9059127	young	old	959.678	415.756	-1.20681	-1.46762	2e-04	0.00208188
47	Asph	FBgn0034075	2R:11997989-12004499	young	old	39.0001	17.5803	-1.14952	-2.07105	5e-05	0.000618758
48	Ast	FBgn0015905	3R:20586251-20590780	young	old	33.883	54.8898	0.695979	1.29118	0.00155	0.0114134
49	Atg13	FBgn0261108	3R:4175523-4178539	young	old	11.8922	18.2906	0.62108	1.15065	0.00495	0.0289585
50	Atpalpha	FBgn0002921	3R:16774435-16801022	young	old	422.625	185.748	-1.18603	-1.56236	0.00025	0.00250102
51	AttA	FBgn0012042	2R:10634866-10635699	young	old	33.1307	2521.66	6.25006	6.56298	5e-05	0.000618758
52	AttB	FBgn0041581	2R:10636727-10640774	young	old	25.0807	1206.38	5.58797	3.33703	0.00015	0.00164377
53	AttC	FBgn0041579	2R:9281209-9286873	young	old	17.5273	6691.41	8.57657	7.80349	5e-05	0.000618758
54	Axs	FBgn0000152	X:16574121-16577928	young	old	16.4817	9.92912	-0.731126	-1.29015	0.00225	0.0153201
55	Baldspot	FBgn0260960	3L:16641919-16654727	young	old	76.0586	122.08	0.682649	1.14925	0.0063	0.0348912
56	Bap60	FBgn0025463	X:13051477-13053611	young	old	10.8643	17.122	0.656262	1.08328	0.00575	0.0325278
57	Bgb	FBgn0013753	3L:1639686-1640952	young	old	49.6225	24.9212	-0.993622	-1.8308	5e-05	0.000618758
58	Bili	FBgn0039282	3R:20957011-20962431	young	old	12.4366	6.91602	-0.846577	-1.53624	2e-04	0.00208188
59	Bin1	FBgn0024491	3R:12006741-12012615	young	old	20.3353	53.2716	1.38938	1.48164	0.00135	0.0101708
60	Buffy	FBgn0040491	2R:7566977-7576264	young	old	30.3782	19.4263	-0.64503	-1.0792	0.0086	0.0443818
61	Bzd	FBgn0011566	X:2498223-2502700	young	old	23.9631	12.9061	-0.892758	-1.14861	0.00545	0.0311192
62	CG10026	FBgn0032785	2L:19454255-19457726	young	old	11.7682	31.044	1.39942	2.11817	5e-05	0.000618758
63	CG10073	FBgn0034440	2R:15269120-15272470	young	old	0.813207	9.24895	3.5076	3.23479	5e-05	0.000618758
64	CG10082	FBgn0034644	2R:17533682-17544944	young	old	67.215	38.2053	-0.815009	-1.46622	0.00035	0.00330503
65	CG10126	FBgn0038088	3R:8681259-8684939	young	old	51.7653	173.563	1.7454	3.0411	5e-05	0.000618758
66	CG10131	FBgn0033949	2R:10517417-10518526	young	old	9.21881	27.8806	1.59661	2.22233	5e-05	0.000618758
67	CG10178	FBgn0032684	2L:18509571-18513481	young	old	41.2616	17.3368	-1.25097	-2.23442	5e-05	0.000618758
68	CG10184	FBgn0039094	3R:19428228-19431209	young	old	19.8019	75.0989	1.92316	3.33139	5e-05	0.000618758
69	CG10186	FBgn0032797	2L:19508952-19517201	young	old	309.515	96.1966	-1.68595	-2.01479	5e-05	0.000618758
70	CG10188	FBgn0032796	2L:19502333-19508760	young	old	11.7089	6.24625	-0.906543	-1.64254	0.00015	0.00164377
71	CG10211	FBgn0032685	2L:18517492-18531782	young	old	9.62739	4.3635	-1.14166	-1.93801	5e-05	0.000618758
72	CG10219	FBgn0039112	3R:19584062-19586318	young	old	435.271	164.044	-1.40783	-2.46876	5e-05	0.000618758
73	CG10237	FBgn0032783	2L:19435843-19441278	young	old	230.527	107.508	-1.1005	-2.02687	5e-05	0.000618758
74	CG10251	FBgn0043005	3R:19522103-19524749	young	old	9.27932	4.64146	-0.999442	-1.39042	0.00075	0.00623234
75	CG10320	FBgn0034645	2R:17545579-17547508	young	old	882.906	447.348	-0.980862	-1.7574	5e-05	0.000618758
76	CG10326	FBgn0038453	3R:12469326-12472711	young	old	62.5373	38.665	-0.693688	-1.12662	0.00625	0.0347325
77	CG10332	FBgn0067903	2R:19488436-19489296	young	old	0.740934	1297.25	10.7738	8.16681	5e-05	0.000618758
78	CG10340	FBgn0022344	3R:12439133-12440109	young	old	91.5197	55.5226	-0.721008	-1.36183	9e-04	0.00726849
79	CG10345	FBgn0027562	3R:12420135-12430510	young	old	33.9058	11.8614	-1.51526	-2.58964	5e-05	0.000618758
80	CG10348	FBgn0032707	2L:18714614-18731419	young	old	1.59011	0.639238	-1.3147	-1.2189	0.00275	0.0180815
81	CG10361	FBgn0036208	3L:11792043-11793956	young	old	13.016	36.4408	1.48526	2.4264	5e-05	0.000618758
82	CG10383	FBgn0032699	2L:18689580-18695422	young	old	15.7181	35.9887	1.19512	2.12003	5e-05	0.000618758
83	CG1041	FBgn0037440	3R:2194675-2199747	young	old	24.6008	42.9155	0.802797	1.28325	0.002	0.0139088
84	CG10426	FBgn0036273	3L:12270792-12274576	young	old	9.79951	4.70935	-1.05718	-1.70174	5e-05	0.000618758
85	CG10445	FBgn0037531	3R:3742320-3745833	young	old	0.181013	0.812234	2.1658	1.61847	3e-04	0.00290595
86	CG10467	FBgn0035679	3L:6085287-6087836	young	old	9.6591	20.1988	1.06431	1.53599	4e-04	0.00369149
87	CG10483	FBgn0035649	3L:5911004-5914398	young	old	26.9753	9.7281	-1.47141	-2.55071	5e-05	0.000618758
88	CG10514	FBgn0039312	3R:21104145-21105541	young	old	14.8391	9.10374	-0.704872	-1.01643	0.009	0.0460566
89	CG10527	FBgn0034583	2R:16957567-16960290	young	old	31.7558	73.1423	1.20368	2.03436	5e-05	0.000618758
