	Gene	FBgn	Position	Sample1	Sample2	FPKM1	FPKM2	FoldChange.Log2	TestStat	Pval	Qval
1	Arc1	FBgn0033926	2R:10245427-10247799	short-lived/young	short-lived/old	77.6312	499.731	2.68644	6.17837	5e-05	0.00944315
2	AttA	FBgn0012042	2R:10634866-10635699	short-lived/young	short-lived/old	14.0416	252.444	4.16818	6.87066	5e-05	0.00944315
3	AttC	FBgn0041579	2R:9281209-9286873	short-lived/young	short-lived/old	9.4939	410.898	5.43564	8.7895	5e-05	0.00944315
4	CG10332	FBgn0067903	2R:19488436-19489296	short-lived/young	short-lived/old	4.17394	129.247	4.95257	6.89086	5e-05	0.00944315
5	CG10680	FBgn0032836	2L:19964172-19965493	short-lived/young	short-lived/old	64.0678	276.025	2.10712	5.14479	5e-05	0.00944315
6	CG10799	FBgn0033821	2R:9145390-9145997	short-lived/young	short-lived/old	20.0099	131.627	2.71767	4.56981	1e-04	0.0164785
7	CG10912	FBgn0034296	2R:13943567-13944564	short-lived/young	short-lived/old	49.4927	234.772	2.24597	5.07032	5e-05	0.00944315
8	CG11381	FBgn0029568	X:1097811-1099468	short-lived/young	short-lived/old	93.6846	32.9165	-1.509	-3.69285	0.00035	0.0440011
9	CG11395	FBgn0034200	2R:13024745-13026337	short-lived/young	short-lived/old	29.7861	96.4444	1.69506	4.1047	1e-04	0.0164785
10	CG11669	FBgn0033296	2R:4357053-4359154	short-lived/young	short-lived/old	5.74893	67.3435	3.55017	6.17158	5e-05	0.00944315
11	CG11671	FBgn0037562	3R:4113660-4114340	short-lived/young	short-lived/old	10.8068	85.2223	2.97929	4.50495	4e-04	0.04866
12	CG11878	FBgn0039310	3R:21099558-21100960	short-lived/young	short-lived/old	22.5209	97.2215	2.11001	4.57592	5e-05	0.00944315
13	CG11909	FBgn0261575	3R:21165973-21172634	short-lived/young	short-lived/old	20.0299	228.145	3.50973	7.80327	5e-05	0.00944315
14	CG12780	FBgn0033301	2R:4439363-4439758	short-lived/young	short-lived/old	33.1905	291.842	3.13634	4.98201	5e-05	0.00944315
15	CG13083	FBgn0032789	2L:19487489-19490083	short-lived/young	short-lived/old	165.538	54.4746	-1.60351	-3.64037	0.00025	0.0344675
16	CG13084	FBgn0032788	2L:19484929-19486532	short-lived/young	short-lived/old	89.7826	27.0617	-1.73018	-4.072	5e-05	0.00944315
17	CG13315	FBgn0040827	3L:9089975-9090596	short-lived/young	short-lived/old	323.191	955.688	1.56416	3.86105	2e-04	0.028823
18	CG13321	FBgn0033787	2R:8841060-8842675	short-lived/young	short-lived/old	42.899	180.643	2.07413	4.81717	5e-05	0.00944315
19	CG13323	FBgn0033788	2R:8934237-8934793	short-lived/young	short-lived/old	113.508	657.778	2.53481	5.97664	5e-05	0.00944315
20	CG13335	FBgn0261989	2R:9459028-9460045	short-lived/young	short-lived/old	69.9826	293.267	2.06715	4.95818	5e-05	0.00944315
21	CG13422	FBgn0034511	2R:16413831-16414331	short-lived/young	short-lived/old	34.9189	286.457	3.03624	5.45046	5e-05	0.00944315
22	CG13704	FBgn0035583	3L:4898899-4900869	short-lived/young	short-lived/old	29.6336	142	2.26058	4.23785	3e-04	0.0392668
23	CG13905	FBgn0035176	3L:902897-903810	short-lived/young	short-lived/old	12.1955	305.925	4.64876	7.63522	5e-05	0.00944315
24	CG14245	FBgn0039452	3R:22553263-22555772	short-lived/young	short-lived/old	25.7555	245.707	3.25399	5.27501	1e-04	0.0164785
25	CG14292	FBgn0038658	3R:14730654-14731377	short-lived/young	short-lived/old	197.604	909.434	2.20236	5.47921	5e-05	0.00944315
26	CG14309	FBgn0038611	3R:14203841-14210723	short-lived/young	short-lived/old	63.5531	13.6209	-2.22213	-4.92339	5e-05	0.00944315
27	CG1468	FBgn0030157	X:9772454-9773312	short-lived/young	short-lived/old	26.3644	149.731	2.50571	5.07262	5e-05	0.00944315
28	CG14872	FBgn0264776	3R:11333780-11335362	short-lived/young	short-lived/old	31.3604	159.04	2.34237	4.49896	5e-05	0.00944315
29	CG15043	FBgn0030929	X:18387433-18388197	short-lived/young	short-lived/old	114.268	472.037	2.04649	5.09273	5e-05	0.00944315
30	CG15065	FBgn0040734	2R:14277462-14277752	short-lived/young	short-lived/old	213.217	2929.8	3.78041	6.20525	5e-05	0.00944315
31	CG15067	FBgn0034331	2R:14272416-14273093	short-lived/young	short-lived/old	137.471	719.489	2.38784	5.58058	5e-05	0.00944315
32	CG15068	FBgn0040733	2R:14277846-14278114	short-lived/young	short-lived/old	810.61	6945.85	3.09907	6.07444	5e-05	0.00944315
33	CG15293	FBgn0028526	2L:14108056-14109304	short-lived/young	short-lived/old	65.7841	332.271	2.33655	5.74598	5e-05	0.00944315
34	CG15570	FBgn0029697	X:4112258-4117216	short-lived/young	short-lived/old	62.8195	16.5495	-1.92443	-4.74915	5e-05	0.00944315
35	CG15739	FBgn0030347	X:11767351-11770989	short-lived/young	short-lived/old	9.87315	49.8517	2.33606	4.19019	5e-05	0.00944315
